bag_id,x,y
31,14336,2048
32,16384,2048
33,18432,2048
34,20480,2048
35,22528,2048
55,14336,4096
56,16384,4096
57,18432,4096
58,20480,4096
59,22528,4096
60,24576,4096
79,14336,6144
80,16384,6144
81,18432,6144
82,20480,6144
83,22528,6144
84,24576,6144
85,26624,6144
102,12288,8192
103,14336,8192
104,16384,8192
105,18432,8192
106,20480,8192
107,22528,8192
108,24576,8192
109,26624,8192
110,28672,8192
125,10240,10240
126,12288,10240
127,14336,10240
128,16384,10240
129,18432,10240
130,20480,10240
131,22528,10240
132,24576,10240
133,26624,10240
134,28672,10240
135,30720,10240
149,10240,12288
150,12288,12288
151,14336,12288
152,16384,12288
153,18432,12288
154,20480,12288
155,22528,12288
156,24576,12288
157,26624,12288
158,28672,12288
159,30720,12288
160,32768,12288
161,34816,12288
172,8192,14336
173,10240,14336
174,12288,14336
175,14336,14336
176,16384,14336
177,18432,14336
178,20480,14336
179,22528,14336
180,24576,14336
181,26624,14336
182,28672,14336
183,30720,14336
184,32768,14336
185,34816,14336
195,6144,16384
196,8192,16384
197,10240,16384
198,12288,16384
199,14336,16384
200,16384,16384
201,18432,16384
202,20480,16384
203,22528,16384
204,24576,16384
205,26624,16384
206,28672,16384
207,30720,16384
208,32768,16384
209,34816,16384
210,36864,16384
219,6144,18432
220,8192,18432
221,10240,18432
222,12288,18432
223,14336,18432
224,16384,18432
225,18432,18432
226,20480,18432
227,22528,18432
228,24576,18432
229,26624,18432
230,28672,18432
231,30720,18432
232,32768,18432
233,34816,18432
234,36864,18432
235,38912,18432
242,4096,20480
243,6144,20480
244,8192,20480
245,10240,20480
246,12288,20480
247,14336,20480
248,16384,20480
249,18432,20480
250,20480,20480
251,22528,20480
252,24576,20480
253,26624,20480
254,28672,20480
255,30720,20480
256,32768,20480
257,34816,20480
258,36864,20480
259,38912,20480
260,40960,20480
268,8192,22528
269,10240,22528
270,12288,22528
271,14336,22528
272,16384,22528
273,18432,22528
274,20480,22528
275,22528,22528
276,24576,22528
277,26624,22528
278,28672,22528
279,30720,22528
280,32768,22528
281,34816,22528
285,43008,22528
293,10240,24576
294,12288,24576
295,14336,24576
296,16384,24576
297,18432,24576
298,20480,24576
299,22528,24576
300,24576,24576
301,26624,24576
302,28672,24576
303,30720,24576
304,32768,24576
305,34816,24576
306,36864,24576
307,38912,24576
309,43008,24576
310,45056,24576
318,12288,26624
319,14336,26624
320,16384,26624
321,18432,26624
322,20480,26624
323,22528,26624
324,24576,26624
325,26624,26624
326,28672,26624
327,30720,26624
328,32768,26624
329,34816,26624
330,36864,26624
331,38912,26624
332,40960,26624
334,45056,26624
342,12288,28672
343,14336,28672
344,16384,28672
345,18432,28672
346,20480,28672
347,22528,28672
348,24576,28672
349,26624,28672
350,28672,28672
351,30720,28672
352,32768,28672
353,34816,28672
354,36864,28672
355,38912,28672
356,40960,28672
357,43008,28672
358,45056,28672
359,47104,28672
367,14336,30720
368,16384,30720
369,18432,30720
370,20480,30720
371,22528,30720
372,24576,30720
373,26624,30720
374,28672,30720
375,30720,30720
376,32768,30720
377,34816,30720
378,36864,30720
379,38912,30720
380,40960,30720
381,43008,30720
382,45056,30720
392,16384,32768
393,18432,32768
394,20480,32768
395,22528,32768
396,24576,32768
397,26624,32768
398,28672,32768
399,30720,32768
400,32768,32768
401,34816,32768
402,36864,32768
403,38912,32768
404,40960,32768
405,43008,32768
406,45056,32768
418,20480,34816
419,22528,34816
420,24576,34816
421,26624,34816
422,28672,34816
423,30720,34816
424,32768,34816
425,34816,34816
426,36864,34816
427,38912,34816
428,40960,34816
429,43008,34816
444,24576,36864
445,26624,36864
446,28672,36864
447,30720,36864
448,32768,36864
449,34816,36864
450,36864,36864
451,38912,36864
452,40960,36864
453,43008,36864
470,28672,38912
471,30720,38912
472,32768,38912
473,34816,38912
474,36864,38912
475,38912,38912
476,40960,38912
