bag_id,x,y
17,6144,2048
18,8192,2048
19,10240,2048
20,12288,2048
21,14336,2048
22,16384,2048
29,2048,4096
30,4096,4096
31,6144,4096
32,8192,4096
33,10240,4096
34,12288,4096
35,14336,4096
36,16384,4096
37,18432,4096
38,20480,4096
43,2048,6144
44,4096,6144
45,6144,6144
46,8192,6144
47,10240,6144
48,12288,6144
49,14336,6144
50,16384,6144
51,18432,6144
52,20480,6144
53,22528,6144
54,24576,6144
57,2048,8192
58,4096,8192
59,6144,8192
60,8192,8192
61,10240,8192
62,12288,8192
63,14336,8192
64,16384,8192
65,18432,8192
67,22528,8192
68,24576,8192
69,26624,8192
71,2048,10240
72,4096,10240
74,8192,10240
75,10240,10240
76,12288,10240
77,14336,10240
78,16384,10240
79,18432,10240
83,26624,10240
85,2048,12288
86,4096,12288
87,6144,12288
88,8192,12288
89,10240,12288
90,12288,12288
91,14336,12288
92,16384,12288
93,18432,12288
99,2048,14336
103,10240,14336
104,12288,14336
105,14336,14336
106,16384,14336
113,2048,16384
114,4096,16384
118,12288,16384
119,14336,16384
120,16384,16384
126,0,18432
127,2048,18432
128,4096,18432
129,6144,18432
133,14336,18432
134,16384,18432
141,2048,20480
142,4096,20480
