bag_id,x,y
15,30720,0
16,32768,0
17,34816,0
35,26624,2048
36,28672,2048
37,30720,2048
38,32768,2048
39,34816,2048
40,36864,2048
41,38912,2048
54,20480,4096
55,22528,4096
56,24576,4096
57,26624,4096
58,28672,4096
59,30720,4096
60,32768,4096
61,34816,4096
62,36864,4096
63,38912,4096
73,14336,6144
74,16384,6144
75,18432,6144
76,20480,6144
77,22528,6144
78,24576,6144
79,26624,6144
80,28672,6144
81,30720,6144
82,32768,6144
83,34816,6144
84,36864,6144
85,38912,6144
93,10240,8192
94,12288,8192
95,14336,8192
96,16384,8192
97,18432,8192
98,20480,8192
99,22528,8192
100,24576,8192
101,26624,8192
102,28672,8192
103,30720,8192
104,32768,8192
105,34816,8192
106,36864,8192
107,38912,8192
111,2048,10240
112,4096,10240
113,6144,10240
114,8192,10240
115,10240,10240
116,12288,10240
117,14336,10240
118,16384,10240
119,18432,10240
120,20480,10240
121,22528,10240
122,24576,10240
123,26624,10240
124,28672,10240
125,30720,10240
126,32768,10240
127,34816,10240
128,36864,10240
129,38912,10240
133,2048,12288
134,4096,12288
135,6144,12288
136,8192,12288
137,10240,12288
138,12288,12288
139,14336,12288
140,16384,12288
141,18432,12288
142,20480,12288
143,22528,12288
144,24576,12288
145,26624,12288
146,28672,12288
147,30720,12288
148,32768,12288
149,34816,12288
150,36864,12288
151,38912,12288
155,2048,14336
156,4096,14336
157,6144,14336
158,8192,14336
159,10240,14336
160,12288,14336
161,14336,14336
162,16384,14336
163,18432,14336
164,20480,14336
165,22528,14336
166,24576,14336
167,26624,14336
168,28672,14336
169,30720,14336
170,32768,14336
171,34816,14336
172,36864,14336
173,38912,14336
177,2048,16384
178,4096,16384
179,6144,16384
180,8192,16384
181,10240,16384
182,12288,16384
183,14336,16384
184,16384,16384
185,18432,16384
186,20480,16384
187,22528,16384
188,24576,16384
189,26624,16384
190,28672,16384
191,30720,16384
192,32768,16384
193,34816,16384
194,36864,16384
199,2048,18432
200,4096,18432
201,6144,18432
202,8192,18432
203,10240,18432
204,12288,18432
205,14336,18432
206,16384,18432
207,18432,18432
208,20480,18432
209,22528,18432
210,24576,18432
211,26624,18432
212,28672,18432
213,30720,18432
214,32768,18432
215,34816,18432
216,36864,18432
217,38912,18432
218,40960,18432
221,2048,20480
222,4096,20480
223,6144,20480
224,8192,20480
225,10240,20480
226,12288,20480
227,14336,20480
228,16384,20480
229,18432,20480
230,20480,20480
231,22528,20480
232,24576,20480
233,26624,20480
234,28672,20480
235,30720,20480
236,32768,20480
237,34816,20480
238,36864,20480
240,40960,20480
241,43008,20480
243,2048,22528
244,4096,22528
245,6144,22528
246,8192,22528
247,10240,22528
248,12288,22528
249,14336,22528
250,16384,22528
251,18432,22528
252,20480,22528
253,22528,22528
254,24576,22528
255,26624,22528
256,28672,22528
257,30720,22528
258,32768,22528
259,34816,22528
260,36864,22528
261,38912,22528
262,40960,22528
263,43008,22528
265,2048,24576
266,4096,24576
267,6144,24576
268,8192,24576
269,10240,24576
270,12288,24576
272,16384,24576
273,18432,24576
274,20480,24576
275,22528,24576
276,24576,24576
278,28672,24576
279,30720,24576
280,32768,24576
281,34816,24576
282,36864,24576
283,38912,24576
284,40960,24576
285,43008,24576
288,4096,26624
289,6144,26624
290,8192,26624
291,10240,26624
292,12288,26624
293,14336,26624
294,16384,26624
295,18432,26624
296,20480,26624
297,22528,26624
298,24576,26624
299,26624,26624
300,28672,26624
301,30720,26624
302,32768,26624
303,34816,26624
304,36864,26624
305,38912,26624
306,40960,26624
307,43008,26624
312,8192,28672
313,10240,28672
314,12288,28672
315,14336,28672
316,16384,28672
317,18432,28672
318,20480,28672
319,22528,28672
320,24576,28672
321,26624,28672
322,28672,28672
323,30720,28672
324,32768,28672
325,34816,28672
326,36864,28672
327,38912,28672
328,40960,28672
329,43008,28672
334,8192,30720
335,10240,30720
336,12288,30720
337,14336,30720
338,16384,30720
339,18432,30720
340,20480,30720
341,22528,30720
342,24576,30720
343,26624,30720
344,28672,30720
345,30720,30720
346,32768,30720
347,34816,30720
348,36864,30720
349,38912,30720
350,40960,30720
356,8192,32768
357,10240,32768
358,12288,32768
