bag_id,x,y
63,18432,2048
66,24576,2048
67,26624,2048
68,28672,2048
69,30720,2048
98,90112,2048
99,92160,2048
100,94208,2048
116,16384,4096
117,18432,4096
118,20480,4096
119,22528,4096
120,24576,4096
121,26624,4096
122,28672,4096
123,30720,4096
124,32768,4096
150,86016,4096
151,88064,4096
152,90112,4096
153,92160,4096
154,94208,4096
155,96256,4096
169,14336,6144
170,16384,6144
171,18432,6144
172,20480,6144
173,22528,6144
174,24576,6144
175,26624,6144
176,28672,6144
177,30720,6144
178,32768,6144
179,34816,6144
201,79872,6144
202,81920,6144
203,83968,6144
204,86016,6144
205,88064,6144
206,90112,6144
207,92160,6144
208,94208,6144
209,96256,6144
210,98304,6144
222,12288,8192
223,14336,8192
224,16384,8192
225,18432,8192
226,20480,8192
227,22528,8192
228,24576,8192
229,26624,8192
230,28672,8192
231,30720,8192
232,32768,8192
233,34816,8192
234,36864,8192
255,79872,8192
256,81920,8192
257,83968,8192
258,86016,8192
259,88064,8192
260,90112,8192
262,94208,8192
263,96256,8192
264,98304,8192
265,100352,8192
275,10240,10240
277,14336,10240
279,18432,10240
280,20480,10240
281,22528,10240
282,24576,10240
283,26624,10240
284,28672,10240
285,30720,10240
286,32768,10240
287,34816,10240
288,36864,10240
308,77824,10240
309,79872,10240
310,81920,10240
311,83968,10240
312,86016,10240
313,88064,10240
314,90112,10240
315,92160,10240
316,94208,10240
317,96256,10240
318,98304,10240
328,8192,12288
329,10240,12288
330,12288,12288
331,14336,12288
334,20480,12288
335,22528,12288
336,24576,12288
337,26624,12288
338,28672,12288
339,30720,12288
362,77824,12288
363,79872,12288
364,81920,12288
365,83968,12288
366,86016,12288
367,88064,12288
368,90112,12288
369,92160,12288
370,94208,12288
381,6144,14336
382,8192,14336
383,10240,14336
384,12288,14336
385,14336,14336
386,16384,14336
388,20480,14336
389,22528,14336
390,24576,14336
391,26624,14336
392,28672,14336
393,30720,14336
415,75776,14336
416,77824,14336
417,79872,14336
419,83968,14336
420,86016,14336
421,88064,14336
422,90112,14336
423,92160,14336
424,94208,14336
425,96256,14336
426,98304,14336
427,100352,14336
428,102400,14336
434,4096,16384
435,6144,16384
436,8192,16384
437,10240,16384
438,12288,16384
439,14336,16384
440,16384,16384
443,22528,16384
444,24576,16384
445,26624,16384
446,28672,16384
447,30720,16384
448,32768,16384
449,34816,16384
450,36864,16384
451,38912,16384
468,73728,16384
469,75776,16384
470,77824,16384
471,79872,16384
472,81920,16384
474,86016,16384
475,88064,16384
476,90112,16384
477,92160,16384
478,94208,16384
479,96256,16384
480,98304,16384
481,100352,16384
482,102400,16384
483,104448,16384
487,2048,18432
488,4096,18432
489,6144,18432
490,8192,18432
491,10240,18432
492,12288,18432
493,14336,18432
494,16384,18432
495,18432,18432
498,24576,18432
499,26624,18432
500,28672,18432
501,30720,18432
502,32768,18432
503,34816,18432
504,36864,18432
505,38912,18432
521,71680,18432
522,73728,18432
523,75776,18432
524,77824,18432
525,79872,18432
526,81920,18432
527,83968,18432
528,86016,18432
529,88064,18432
530,90112,18432
531,92160,18432
532,94208,18432
533,96256,18432
534,98304,18432
535,100352,18432
536,102400,18432
537,104448,18432
538,106496,18432
541,2048,20480
542,4096,20480
543,6144,20480
544,8192,20480
545,10240,20480
546,12288,20480
547,14336,20480
548,16384,20480
549,18432,20480
551,22528,20480
552,24576,20480
553,26624,20480
554,28672,20480
555,30720,20480
556,32768,20480
557,34816,20480
558,36864,20480
559,38912,20480
575,71680,20480
576,73728,20480
577,75776,20480
578,77824,20480
579,79872,20480
580,81920,20480
581,83968,20480
584,90112,20480
585,92160,20480
586,94208,20480
587,96256,20480
588,98304,20480
589,100352,20480
590,102400,20480
591,104448,20480
592,106496,20480
596,4096,22528
597,6144,22528
598,8192,22528
599,10240,22528
600,12288,22528
601,14336,22528
602,16384,22528
603,18432,22528
605,22528,22528
606,24576,22528
607,26624,22528
608,28672,22528
609,30720,22528
610,32768,22528
611,34816,22528
612,36864,22528
613,38912,22528
614,40960,22528
628,69632,22528
629,71680,22528
630,73728,22528
631,75776,22528
632,77824,22528
633,79872,22528
634,81920,22528
635,83968,22528
637,88064,22528
638,90112,22528
639,92160,22528
640,94208,22528
641,96256,22528
642,98304,22528
643,100352,22528
644,102400,22528
645,104448,22528
646,106496,22528
651,6144,24576
652,8192,24576
653,10240,24576
654,12288,24576
655,14336,24576
656,16384,24576
657,18432,24576
660,24576,24576
661,26624,24576
662,28672,24576
663,30720,24576
664,32768,24576
665,34816,24576
666,36864,24576
667,38912,24576
682,69632,24576
683,71680,24576
684,73728,24576
685,75776,24576
686,77824,24576
687,79872,24576
688,81920,24576
689,83968,24576
690,86016,24576
692,90112,24576
693,92160,24576
694,94208,24576
695,96256,24576
696,98304,24576
697,100352,24576
698,102400,24576
699,104448,24576
700,106496,24576
706,8192,26624
707,10240,26624
708,12288,26624
709,14336,26624
710,16384,26624
711,18432,26624
712,20480,26624
715,26624,26624
716,28672,26624
717,30720,26624
718,32768,26624
719,34816,26624
720,36864,26624
721,38912,26624
