bag_id,x,y
0,0,0
1,2048,0
2,4096,0
3,6144,0
4,8192,0
5,10240,0
31,63488,0
32,65536,0
33,67584,0
42,0,2048
43,2048,2048
44,4096,2048
45,6144,2048
46,8192,2048
47,10240,2048
48,12288,2048
49,14336,2048
50,16384,2048
51,18432,2048
52,20480,2048
72,61440,2048
73,63488,2048
74,65536,2048
75,67584,2048
76,69632,2048
77,71680,2048
78,73728,2048
85,2048,4096
86,4096,4096
87,6144,4096
88,8192,4096
89,10240,4096
90,12288,4096
91,14336,4096
92,16384,4096
93,18432,4096
94,20480,4096
115,63488,4096
116,65536,4096
117,67584,4096
118,69632,4096
119,71680,4096
120,73728,4096
121,75776,4096
122,77824,4096
128,4096,6144
129,6144,6144
130,8192,6144
131,10240,6144
132,12288,6144
133,14336,6144
134,16384,6144
135,18432,6144
157,63488,6144
158,65536,6144
159,67584,6144
160,69632,6144
161,71680,6144
162,73728,6144
163,75776,6144
164,77824,6144
165,79872,6144
166,81920,6144
202,69632,8192
204,73728,8192
205,75776,8192
206,77824,8192
207,79872,8192
