bag_id,x,y
52,10240,2048
53,12288,2048
54,14336,2048
55,16384,2048
56,18432,2048
57,20480,2048
58,22528,2048
59,24576,2048
60,26624,2048
61,28672,2048
81,69632,2048
82,71680,2048
83,73728,2048
84,75776,2048
85,77824,2048
98,8192,4096
99,10240,4096
100,12288,4096
101,14336,4096
102,16384,4096
103,18432,4096
104,20480,4096
105,22528,4096
106,24576,4096
107,26624,4096
108,28672,4096
126,65536,4096
127,67584,4096
128,69632,4096
129,71680,4096
130,73728,4096
131,75776,4096
132,77824,4096
133,79872,4096
134,81920,4096
135,83968,4096
136,86016,4096
137,88064,4096
138,90112,4096
142,2048,6144
143,4096,6144
144,6144,6144
145,8192,6144
146,10240,6144
147,12288,6144
148,14336,6144
149,16384,6144
150,18432,6144
151,20480,6144
152,22528,6144
153,24576,6144
154,26624,6144
155,28672,6144
171,61440,6144
172,63488,6144
173,65536,6144
174,67584,6144
175,69632,6144
176,71680,6144
177,73728,6144
178,75776,6144
179,77824,6144
180,79872,6144
181,81920,6144
182,83968,6144
183,86016,6144
184,88064,6144
185,90112,6144
189,2048,8192
190,4096,8192
191,6144,8192
192,8192,8192
193,10240,8192
194,12288,8192
195,14336,8192
196,16384,8192
197,18432,8192
198,20480,8192
199,22528,8192
218,61440,8192
219,63488,8192
220,65536,8192
221,67584,8192
222,69632,8192
223,71680,8192
224,73728,8192
225,75776,8192
226,77824,8192
227,79872,8192
228,81920,8192
229,83968,8192
230,86016,8192
231,88064,8192
232,90112,8192
236,2048,10240
237,4096,10240
238,6144,10240
239,8192,10240
240,10240,10240
241,12288,10240
242,14336,10240
243,16384,10240
244,18432,10240
265,61440,10240
266,63488,10240
267,65536,10240
268,67584,10240
269,69632,10240
270,71680,10240
271,73728,10240
272,75776,10240
273,77824,10240
274,79872,10240
275,81920,10240
276,83968,10240
283,2048,12288
284,4096,12288
285,6144,12288
286,8192,12288
287,10240,12288
288,12288,12288
289,14336,12288
311,59392,12288
312,61440,12288
313,63488,12288
314,65536,12288
315,67584,12288
316,69632,12288
317,71680,12288
318,73728,12288
319,75776,12288
320,77824,12288
329,0,14336
330,2048,14336
331,4096,14336
332,6144,14336
333,8192,14336
334,10240,14336
358,59392,14336
359,61440,14336
360,63488,14336
361,65536,14336
362,67584,14336
377,2048,16384
378,4096,16384
