bag_id,x,y
43,88064,0
44,90112,0
46,94208,0
59,20480,2048
60,22528,2048
61,24576,2048
62,26624,2048
63,28672,2048
88,79872,2048
89,81920,2048
90,83968,2048
91,86016,2048
92,88064,2048
93,90112,2048
94,92160,2048
95,94208,2048
103,10240,4096
104,12288,4096
107,18432,4096
108,20480,4096
109,22528,4096
110,24576,4096
111,26624,4096
112,28672,4096
113,30720,4096
114,32768,4096
133,71680,4096
134,73728,4096
135,75776,4096
138,81920,4096
139,83968,4096
140,86016,4096
141,88064,4096
142,90112,4096
143,92160,4096
144,94208,4096
149,4096,6144
151,8192,6144
152,10240,6144
153,12288,6144
154,14336,6144
155,16384,6144
156,18432,6144
157,20480,6144
158,22528,6144
159,24576,6144
160,26624,6144
161,28672,6144
162,30720,6144
163,32768,6144
183,73728,6144
184,75776,6144
185,77824,6144
186,79872,6144
187,81920,6144
188,83968,6144
189,86016,6144
190,88064,6144
191,90112,6144
192,92160,6144
193,94208,6144
196,0,8192
197,2048,8192
198,4096,8192
199,6144,8192
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
206,20480,8192
207,22528,8192
208,24576,8192
209,26624,8192
210,28672,8192
211,30720,8192
212,32768,8192
227,63488,8192
228,65536,8192
229,67584,8192
230,69632,8192
231,71680,8192
232,73728,8192
233,75776,8192
234,77824,8192
235,79872,8192
236,81920,8192
237,83968,8192
238,86016,8192
239,88064,8192
240,90112,8192
241,92160,8192
242,94208,8192
246,2048,10240
247,4096,10240
248,6144,10240
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
254,18432,10240
255,20480,10240
256,22528,10240
257,24576,10240
258,26624,10240
259,28672,10240
260,30720,10240
276,63488,10240
277,65536,10240
278,67584,10240
279,69632,10240
280,71680,10240
281,73728,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
287,86016,10240
288,88064,10240
289,90112,10240
290,92160,10240
295,2048,12288
296,4096,12288
297,6144,12288
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
307,26624,12288
308,28672,12288
325,63488,12288
326,65536,12288
327,67584,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
332,77824,12288
333,79872,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
354,22528,14336
355,24576,14336
374,63488,14336
375,65536,14336
377,69632,14336
378,71680,14336
379,73728,14336
380,75776,14336
381,77824,14336
382,79872,14336
383,81920,14336
384,83968,14336
385,86016,14336
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
426,69632,16384
427,71680,16384
428,73728,16384
429,75776,16384
430,77824,16384
431,79872,16384
