bag_id,x,y
3,6144,0
46,4096,2048
47,6144,2048
48,8192,2048
49,10240,2048
90,4096,4096
91,6144,4096
92,8192,4096
93,10240,4096
94,12288,4096
95,14336,4096
100,24576,4096
120,65536,4096
121,67584,4096
134,4096,6144
135,6144,6144
136,8192,6144
137,10240,6144
138,12288,6144
139,14336,6144
163,63488,6144
164,65536,6144
165,67584,6144
166,69632,6144
178,4096,8192
179,6144,8192
180,8192,8192
181,10240,8192
182,12288,8192
183,14336,8192
188,24576,8192
189,26624,8192
190,28672,8192
207,63488,8192
208,65536,8192
209,67584,8192
210,69632,8192
211,71680,8192
212,73728,8192
221,2048,10240
222,4096,10240
223,6144,10240
224,8192,10240
225,10240,10240
226,12288,10240
231,22528,10240
232,24576,10240
233,26624,10240
234,28672,10240
251,63488,10240
252,65536,10240
253,67584,10240
254,69632,10240
255,71680,10240
256,73728,10240
261,83968,10240
265,2048,12288
266,4096,12288
267,6144,12288
268,8192,12288
269,10240,12288
270,12288,12288
272,16384,12288
273,18432,12288
275,22528,12288
276,24576,12288
277,26624,12288
278,28672,12288
294,61440,12288
295,63488,12288
296,65536,12288
297,67584,12288
298,69632,12288
299,71680,12288
300,73728,12288
305,83968,12288
306,86016,12288
307,88064,12288
309,2048,14336
310,4096,14336
311,6144,14336
312,8192,14336
313,10240,14336
314,12288,14336
315,14336,14336
316,16384,14336
317,18432,14336
318,20480,14336
319,22528,14336
320,24576,14336
321,26624,14336
322,28672,14336
338,61440,14336
339,63488,14336
340,65536,14336
341,67584,14336
342,69632,14336
343,71680,14336
348,81920,14336
349,83968,14336
350,86016,14336
351,88064,14336
353,2048,16384
354,4096,16384
355,6144,16384
356,8192,16384
357,10240,16384
358,12288,16384
359,14336,16384
360,16384,16384
361,18432,16384
362,20480,16384
363,22528,16384
364,24576,16384
365,26624,16384
366,28672,16384
382,61440,16384
383,63488,16384
384,65536,16384
385,67584,16384
386,69632,16384
387,71680,16384
388,73728,16384
389,75776,16384
390,77824,16384
391,79872,16384
392,81920,16384
393,83968,16384
394,86016,16384
395,88064,16384
398,4096,18432
399,6144,18432
400,8192,18432
401,10240,18432
402,12288,18432
409,26624,18432
426,61440,18432
427,63488,18432
428,65536,18432
429,67584,18432
430,69632,18432
431,71680,18432
432,73728,18432
433,75776,18432
434,77824,18432
435,79872,18432
436,81920,18432
437,83968,18432
438,86016,18432
439,88064,18432
469,59392,20480
470,61440,20480
471,63488,20480
472,65536,20480
473,67584,20480
474,69632,20480
475,71680,20480
476,73728,20480
477,75776,20480
478,77824,20480
479,79872,20480
480,81920,20480
481,83968,20480
482,86016,20480
514,61440,22528
515,63488,22528
516,65536,22528
517,67584,22528
518,69632,22528
519,71680,22528
520,73728,22528
521,75776,22528
522,77824,22528
523,79872,22528
524,81920,22528
525,83968,22528
526,86016,22528
