bag_id,x,y
8,16384,0
44,6144,2048
45,8192,2048
46,10240,2048
47,12288,2048
48,14336,2048
49,16384,2048
50,18432,2048
83,2048,4096
84,4096,4096
85,6144,4096
86,8192,4096
87,10240,4096
88,12288,4096
89,14336,4096
90,16384,4096
91,18432,4096
92,20480,4096
117,71680,4096
118,73728,4096
119,75776,4096
120,77824,4096
121,79872,4096
122,81920,4096
124,2048,6144
125,4096,6144
126,6144,6144
127,8192,6144
128,10240,6144
129,12288,6144
130,14336,6144
131,16384,6144
132,18432,6144
133,20480,6144
149,53248,6144
150,55296,6144
151,57344,6144
152,59392,6144
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
160,75776,6144
161,77824,6144
162,79872,6144
163,81920,6144
165,2048,8192
166,4096,8192
167,6144,8192
168,8192,8192
169,10240,8192
170,12288,8192
171,14336,8192
172,16384,8192
173,18432,8192
189,51200,8192
192,57344,8192
193,59392,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
201,75776,8192
202,77824,8192
203,79872,8192
208,6144,10240
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
230,51200,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
243,77824,10240
244,79872,10240
245,81920,10240
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
284,77824,12288
285,79872,12288
286,81920,12288
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
