bag_id,x,y
64,18432,2048
65,20480,2048
117,14336,4096
118,16384,4096
119,18432,4096
120,20480,4096
153,88064,4096
154,90112,4096
155,92160,4096
156,94208,4096
172,14336,6144
173,16384,6144
174,18432,6144
175,20480,6144
178,26624,6144
179,28672,6144
180,30720,6144
181,32768,6144
208,88064,6144
209,90112,6144
210,92160,6144
211,94208,6144
214,100352,6144
225,10240,8192
226,12288,8192
227,14336,8192
228,16384,8192
229,18432,8192
232,24576,8192
233,26624,8192
234,28672,8192
235,30720,8192
236,32768,8192
237,34816,8192
263,88064,8192
264,90112,8192
265,92160,8192
266,94208,8192
269,100352,8192
270,102400,8192
271,104448,8192
272,106496,8192
279,8192,10240
280,10240,10240
281,12288,10240
283,16384,10240
284,18432,10240
287,24576,10240
288,26624,10240
289,28672,10240
290,30720,10240
291,32768,10240
292,34816,10240
315,81920,10240
316,83968,10240
317,86016,10240
318,88064,10240
319,90112,10240
320,92160,10240
321,94208,10240
323,98304,10240
324,100352,10240
325,102400,10240
326,104448,10240
327,106496,10240
328,108544,10240
334,8192,12288
335,10240,12288
336,12288,12288
337,14336,12288
343,26624,12288
344,28672,12288
345,30720,12288
346,32768,12288
347,34816,12288
369,79872,12288
370,81920,12288
371,83968,12288
372,86016,12288
373,88064,12288
374,90112,12288
378,98304,12288
379,100352,12288
380,102400,12288
381,104448,12288
382,106496,12288
383,108544,12288
388,6144,14336
389,8192,14336
390,10240,14336
391,12288,14336
392,14336,14336
393,16384,14336
397,24576,14336
398,26624,14336
399,28672,14336
400,30720,14336
401,32768,14336
402,34816,14336
424,79872,14336
425,81920,14336
426,83968,14336
427,86016,14336
428,88064,14336
429,90112,14336
433,98304,14336
434,100352,14336
435,102400,14336
436,104448,14336
437,106496,14336
438,108544,14336
443,6144,16384
444,8192,16384
445,10240,16384
446,12288,16384
447,14336,16384
448,16384,16384
450,20480,16384
451,22528,16384
452,24576,16384
453,26624,16384
454,28672,16384
455,30720,16384
456,32768,16384
457,34816,16384
478,77824,16384
479,79872,16384
480,81920,16384
481,83968,16384
482,86016,16384
483,88064,16384
484,90112,16384
488,98304,16384
489,100352,16384
490,102400,16384
491,104448,16384
492,106496,16384
493,108544,16384
494,110592,16384
498,6144,18432
499,8192,18432
500,10240,18432
501,12288,18432
502,14336,18432
503,16384,18432
504,18432,18432
505,20480,18432
506,22528,18432
507,24576,18432
508,26624,18432
509,28672,18432
510,30720,18432
511,32768,18432
512,34816,18432
533,77824,18432
534,79872,18432
535,81920,18432
536,83968,18432
537,86016,18432
538,88064,18432
539,90112,18432
540,92160,18432
542,96256,18432
543,98304,18432
544,100352,18432
545,102400,18432
546,104448,18432
547,106496,18432
548,108544,18432
552,4096,20480
553,6144,20480
554,8192,20480
555,10240,20480
556,12288,20480
557,14336,20480
558,16384,20480
559,18432,20480
560,20480,20480
561,22528,20480
562,24576,20480
563,26624,20480
564,28672,20480
565,30720,20480
566,32768,20480
567,34816,20480
587,75776,20480
588,77824,20480
589,79872,20480
590,81920,20480
591,83968,20480
592,86016,20480
593,88064,20480
594,90112,20480
595,92160,20480
596,94208,20480
597,96256,20480
598,98304,20480
599,100352,20480
600,102400,20480
601,104448,20480
602,106496,20480
603,108544,20480
607,4096,22528
608,6144,22528
609,8192,22528
610,10240,22528
611,12288,22528
612,14336,22528
613,16384,22528
614,18432,22528
615,20480,22528
616,22528,22528
617,24576,22528
618,26624,22528
619,28672,22528
620,30720,22528
621,32768,22528
642,75776,22528
643,77824,22528
644,79872,22528
645,81920,22528
646,83968,22528
647,86016,22528
648,88064,22528
649,90112,22528
650,92160,22528
651,94208,22528
652,96256,22528
653,98304,22528
654,100352,22528
655,102400,22528
656,104448,22528
657,106496,22528
662,4096,24576
663,6144,24576
664,8192,24576
665,10240,24576
666,12288,24576
667,14336,24576
668,16384,24576
669,18432,24576
670,20480,24576
671,22528,24576
672,24576,24576
673,26624,24576
674,28672,24576
675,30720,24576
676,32768,24576
697,75776,24576
698,77824,24576
699,79872,24576
700,81920,24576
701,83968,24576
702,86016,24576
703,88064,24576
704,90112,24576
705,92160,24576
706,94208,24576
707,96256,24576
708,98304,24576
709,100352,24576
710,102400,24576
711,104448,24576
712,106496,24576
716,2048,26624
717,4096,26624
718,6144,26624
719,8192,26624
720,10240,26624
721,12288,26624
722,14336,26624
723,16384,26624
724,18432,26624
725,20480,26624
726,22528,26624
727,24576,26624
728,26624,26624
729,28672,26624
730,30720,26624
731,32768,26624
751,73728,26624
752,75776,26624
753,77824,26624
754,79872,26624
755,81920,26624
756,83968,26624
757,86016,26624
758,88064,26624
759,90112,26624
760,92160,26624
761,94208,26624
762,96256,26624
763,98304,26624
764,100352,26624
765,102400,26624
766,104448,26624
771,2048,28672
772,4096,28672
773,6144,28672
774,8192,28672
775,10240,28672
776,12288,28672
777,14336,28672
778,16384,28672
779,18432,28672
780,20480,28672
781,22528,28672
782,24576,28672
783,26624,28672
784,28672,28672
785,30720,28672
806,73728,28672
807,75776,28672
808,77824,28672
809,79872,28672
810,81920,28672
811,83968,28672
812,86016,28672
813,88064,28672
814,90112,28672
815,92160,28672
816,94208,28672
817,96256,28672
818,98304,28672
819,100352,28672
820,102400,28672
821,104448,28672
827,4096,30720
828,6144,30720
829,8192,30720
830,10240,30720
831,12288,30720
832,14336,30720
833,16384,30720
834,18432,30720
835,20480,30720
836,22528,30720
837,24576,30720
838,26624,30720
839,28672,30720
840,30720,30720
862,75776,30720
863,77824,30720
864,79872,30720
865,81920,30720
866,83968,30720
867,86016,30720
868,88064,30720
869,90112,30720
870,92160,30720
871,94208,30720
872,96256,30720
873,98304,30720
874,100352,30720
875,102400,30720
876,104448,30720
883,6144,32768
884,8192,32768
885,10240,32768
886,12288,32768
887,14336,32768
888,16384,32768
890,20480,32768
891,22528,32768
893,26624,32768
894,28672,32768
895,30720,32768
918,77824,32768
919,79872,32768
920,81920,32768
921,83968,32768
922,86016,32768
923,88064,32768
924,90112,32768
925,92160,32768
926,94208,32768
927,96256,32768
928,98304,32768
929,100352,32768
930,102400,32768
939,8192,34816
940,10240,34816
941,12288,34816
942,14336,34816
943,16384,34816
949,28672,34816
950,30720,34816
974,79872,34816
975,81920,34816
976,83968,34816
977,86016,34816
978,88064,34816
980,92160,34816
981,94208,34816
983,98304,34816
984,100352,34816
985,102400,34816
996,12288,36864
997,14336,36864
998,16384,36864
1030,81920,36864
1031,83968,36864
1032,86016,36864
1033,88064,36864
1039,100352,36864
1040,102400,36864
1052,14336,38912
1086,83968,38912
1087,86016,38912
