bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
29,6144,2048
30,8192,2048
31,10240,2048
32,12288,2048
33,14336,2048
47,43008,2048
48,45056,2048
49,47104,2048
50,49152,2048
55,6144,4096
56,8192,4096
57,10240,4096
58,12288,4096
59,14336,4096
72,40960,4096
73,43008,4096
74,45056,4096
75,47104,4096
76,49152,4096
80,4096,6144
81,6144,6144
82,8192,6144
83,10240,6144
84,12288,6144
85,14336,6144
97,38912,6144
98,40960,6144
99,43008,6144
100,45056,6144
101,47104,6144
102,49152,6144
107,6144,8192
108,8192,8192
109,10240,8192
110,12288,8192
111,14336,8192
124,40960,8192
125,43008,8192
126,45056,8192
127,47104,8192
128,49152,8192
132,4096,10240
133,6144,10240
134,8192,10240
135,10240,10240
136,12288,10240
137,14336,10240
150,40960,10240
151,43008,10240
152,45056,10240
153,47104,10240
154,49152,10240
158,4096,12288
159,6144,12288
160,8192,12288
161,10240,12288
162,12288,12288
166,20480,12288
175,38912,12288
176,40960,12288
177,43008,12288
178,45056,12288
179,47104,12288
180,49152,12288
184,4096,14336
185,6144,14336
186,8192,14336
187,10240,14336
188,12288,14336
201,38912,14336
202,40960,14336
203,43008,14336
204,45056,14336
205,47104,14336
210,4096,16384
211,6144,16384
212,8192,16384
213,10240,16384
214,12288,16384
227,38912,16384
228,40960,16384
229,43008,16384
230,45056,16384
231,47104,16384
236,4096,18432
237,6144,18432
238,8192,18432
239,10240,18432
253,38912,18432
254,40960,18432
255,43008,18432
256,45056,18432
262,4096,20480
263,6144,20480
279,38912,20480
280,40960,20480
281,43008,20480
