bag_id,x,y
70,65536,2048
71,67584,2048
82,12288,4096
83,14336,4096
107,63488,4096
108,65536,4096
109,67584,4096
110,69632,4096
120,12288,6144
121,14336,6144
122,16384,6144
123,18432,6144
142,57344,6144
143,59392,6144
144,61440,6144
145,63488,6144
146,65536,6144
147,67584,6144
148,69632,6144
149,71680,6144
156,8192,8192
157,10240,8192
158,12288,8192
159,14336,8192
160,16384,8192
161,18432,8192
180,57344,8192
181,59392,8192
182,61440,8192
183,63488,8192
184,65536,8192
185,67584,8192
186,69632,8192
187,71680,8192
193,6144,10240
194,8192,10240
195,10240,10240
196,12288,10240
197,14336,10240
198,16384,10240
199,18432,10240
218,57344,10240
219,59392,10240
220,61440,10240
221,63488,10240
222,65536,10240
223,67584,10240
224,69632,10240
225,71680,10240
226,73728,10240
230,4096,12288
231,6144,12288
232,8192,12288
233,10240,12288
234,12288,12288
235,14336,12288
236,16384,12288
237,18432,12288
238,20480,12288
256,57344,12288
257,59392,12288
258,61440,12288
259,63488,12288
260,65536,12288
261,67584,12288
262,69632,12288
263,71680,12288
264,73728,12288
267,2048,14336
268,4096,14336
270,8192,14336
271,10240,14336
272,12288,14336
273,14336,14336
274,16384,14336
275,18432,14336
276,20480,14336
277,22528,14336
294,57344,14336
295,59392,14336
296,61440,14336
297,63488,14336
298,65536,14336
299,67584,14336
300,69632,14336
301,71680,14336
302,73728,14336
304,0,16384
305,2048,16384
306,4096,16384
308,8192,16384
309,10240,16384
310,12288,16384
311,14336,16384
312,16384,16384
313,18432,16384
314,20480,16384
315,22528,16384
332,57344,16384
334,61440,16384
335,63488,16384
336,65536,16384
337,67584,16384
338,69632,16384
339,71680,16384
340,73728,16384
342,0,18432
343,2048,18432
346,8192,18432
347,10240,18432
348,12288,18432
349,14336,18432
350,16384,18432
351,18432,18432
352,20480,18432
353,22528,18432
371,59392,18432
373,63488,18432
374,65536,18432
375,67584,18432
376,69632,18432
377,71680,18432
378,73728,18432
384,8192,20480
385,10240,20480
386,12288,20480
387,14336,20480
388,16384,20480
389,18432,20480
390,20480,20480
391,22528,20480
410,61440,20480
411,63488,20480
412,65536,20480
413,67584,20480
414,69632,20480
415,71680,20480
416,73728,20480
422,8192,22528
423,10240,22528
424,12288,22528
425,14336,22528
426,16384,22528
427,18432,22528
428,20480,22528
429,22528,22528
447,59392,22528
448,61440,22528
449,63488,22528
450,65536,22528
451,67584,22528
452,69632,22528
453,71680,22528
460,8192,24576
461,10240,24576
462,12288,24576
463,14336,24576
464,16384,24576
465,18432,24576
466,20480,24576
467,22528,24576
485,59392,24576
486,61440,24576
487,63488,24576
488,65536,24576
489,67584,24576
490,69632,24576
491,71680,24576
498,8192,26624
499,10240,26624
500,12288,26624
501,14336,26624
502,16384,26624
503,18432,26624
504,20480,26624
523,59392,26624
524,61440,26624
525,63488,26624
526,65536,26624
527,67584,26624
528,69632,26624
536,8192,28672
537,10240,28672
538,12288,28672
539,14336,28672
540,16384,28672
541,18432,28672
542,20480,28672
562,61440,28672
563,63488,28672
564,65536,28672
575,10240,30720
576,12288,30720
577,14336,30720
578,16384,30720
579,18432,30720
613,10240,32768
614,12288,32768
