bag_id,x,y
3,6144,0
4,8192,0
13,6144,2048
14,8192,2048
22,4096,4096
23,6144,4096
24,8192,4096
32,4096,6144
33,6144,6144
34,8192,6144
35,10240,6144
36,12288,6144
41,2048,8192
42,4096,8192
43,6144,8192
44,8192,8192
45,10240,8192
46,12288,8192
47,14336,8192
48,16384,8192
51,2048,10240
52,4096,10240
53,6144,10240
54,8192,10240
55,10240,10240
56,12288,10240
57,14336,10240
58,16384,10240
62,4096,12288
63,6144,12288
64,8192,12288
65,10240,12288
66,12288,12288
67,14336,12288
68,16384,12288
69,18432,12288
71,2048,14336
72,4096,14336
73,6144,14336
74,8192,14336
75,10240,14336
76,12288,14336
77,14336,14336
78,16384,14336
79,18432,14336
81,2048,16384
82,4096,16384
83,6144,16384
84,8192,16384
85,10240,16384
86,12288,16384
87,14336,16384
88,16384,16384
91,2048,18432
92,4096,18432
93,6144,18432
94,8192,18432
95,10240,18432
96,12288,18432
97,14336,18432
100,0,20480
101,2048,20480
102,4096,20480
103,6144,20480
104,8192,20480
105,10240,20480
