bag_id,x,y
4,8192,0
5,10240,0
6,12288,0
14,8192,2048
15,10240,2048
16,12288,2048
17,14336,2048
20,0,4096
23,6144,4096
24,8192,4096
25,10240,4096
26,12288,4096
27,14336,4096
30,0,6144
31,2048,6144
33,6144,6144
34,8192,6144
35,10240,6144
36,12288,6144
37,14336,6144
40,0,8192
41,2048,8192
43,6144,8192
44,8192,8192
45,10240,8192
46,12288,8192
47,14336,8192
48,16384,8192
51,2048,10240
52,4096,10240
53,6144,10240
54,8192,10240
55,10240,10240
56,12288,10240
57,14336,10240
58,16384,10240
61,2048,12288
62,4096,12288
63,6144,12288
64,8192,12288
65,10240,12288
66,12288,12288
67,14336,12288
68,16384,12288
72,4096,14336
73,6144,14336
74,8192,14336
75,10240,14336
76,12288,14336
77,14336,14336
78,16384,14336
83,6144,16384
84,8192,16384
85,10240,16384
86,12288,16384
87,14336,16384
88,16384,16384
93,6144,18432
94,8192,18432
95,10240,18432
96,12288,18432
97,14336,18432
98,16384,18432
104,8192,20480
105,10240,20480
106,12288,20480
107,14336,20480
108,16384,20480
115,10240,22528
116,12288,22528
117,14336,22528
118,16384,22528
