bag_id,x,y
153,6144,6144
154,8192,6144
155,10240,6144
156,12288,6144
157,14336,6144
202,4096,8192
203,6144,8192
204,8192,8192
205,10240,8192
206,12288,8192
207,14336,8192
208,16384,8192
209,18432,8192
210,20480,8192
211,22528,8192
212,24576,8192
214,28672,8192
215,30720,8192
252,4096,10240
253,6144,10240
254,8192,10240
255,10240,10240
256,12288,10240
257,14336,10240
258,16384,10240
259,18432,10240
260,20480,10240
261,22528,10240
262,24576,10240
263,26624,10240
264,28672,10240
284,69632,10240
285,71680,10240
286,73728,10240
287,75776,10240
288,77824,10240
289,79872,10240
302,4096,12288
303,6144,12288
304,8192,12288
305,10240,12288
306,12288,12288
307,14336,12288
308,16384,12288
309,18432,12288
310,20480,12288
311,22528,12288
312,24576,12288
313,26624,12288
334,69632,12288
335,71680,12288
336,73728,12288
337,75776,12288
338,77824,12288
339,79872,12288
340,81920,12288
341,83968,12288
342,86016,12288
343,88064,12288
344,90112,12288
345,92160,12288
346,94208,12288
353,6144,14336
354,8192,14336
355,10240,14336
356,12288,14336
357,14336,14336
358,16384,14336
359,18432,14336
360,20480,14336
361,22528,14336
362,24576,14336
363,26624,14336
384,69632,14336
385,71680,14336
386,73728,14336
387,75776,14336
388,77824,14336
389,79872,14336
390,81920,14336
391,83968,14336
392,86016,14336
393,88064,14336
394,90112,14336
395,92160,14336
396,94208,14336
403,6144,16384
404,8192,16384
405,10240,16384
406,12288,16384
407,14336,16384
408,16384,16384
409,18432,16384
410,20480,16384
411,22528,16384
412,24576,16384
434,69632,16384
435,71680,16384
436,73728,16384
437,75776,16384
438,77824,16384
439,79872,16384
440,81920,16384
441,83968,16384
442,86016,16384
443,88064,16384
444,90112,16384
445,92160,16384
453,6144,18432
454,8192,18432
455,10240,18432
456,12288,18432
457,14336,18432
458,16384,18432
459,18432,18432
460,20480,18432
461,22528,18432
462,24576,18432
463,26624,18432
484,69632,18432
485,71680,18432
486,73728,18432
487,75776,18432
488,77824,18432
489,79872,18432
490,81920,18432
491,83968,18432
492,86016,18432
493,88064,18432
494,90112,18432
503,6144,20480
504,8192,20480
505,10240,20480
508,16384,20480
509,18432,20480
510,20480,20480
511,22528,20480
512,24576,20480
513,26624,20480
514,28672,20480
534,69632,20480
535,71680,20480
536,73728,20480
537,75776,20480
538,77824,20480
539,79872,20480
540,81920,20480
541,83968,20480
542,86016,20480
543,88064,20480
544,90112,20480
554,8192,22528
558,16384,22528
559,18432,22528
560,20480,22528
561,22528,22528
562,24576,22528
563,26624,22528
568,36864,22528
584,69632,22528
585,71680,22528
586,73728,22528
587,75776,22528
589,79872,22528
590,81920,22528
591,83968,22528
592,86016,22528
593,88064,22528
594,90112,22528
596,94208,22528
608,16384,24576
609,18432,24576
610,20480,24576
611,22528,24576
612,24576,24576
613,26624,24576
634,69632,24576
635,71680,24576
636,73728,24576
639,79872,24576
640,81920,24576
641,83968,24576
642,86016,24576
643,88064,24576
644,90112,24576
662,24576,26624
663,26624,26624
689,79872,26624
690,81920,26624
691,83968,26624
692,86016,26624
693,88064,26624
694,90112,26624
695,92160,26624
740,81920,28672
741,83968,28672
742,86016,28672
743,88064,28672
744,90112,28672
745,92160,28672
795,92160,30720
