bag_id,x,y
21,43008,0
22,45056,0
57,40960,2048
58,43008,2048
59,45056,2048
60,47104,2048
95,43008,4096
96,45056,4096
97,47104,4096
102,57344,4096
103,59392,4096
113,4096,6144
114,6144,6144
115,8192,6144
132,43008,6144
133,45056,6144
134,47104,6144
135,49152,6144
139,57344,6144
140,59392,6144
141,61440,6144
150,4096,8192
151,6144,8192
152,8192,8192
153,10240,8192
160,24576,8192
161,26624,8192
169,43008,8192
170,45056,8192
171,47104,8192
172,49152,8192
177,59392,8192
178,61440,8192
188,6144,10240
189,8192,10240
190,10240,10240
197,24576,10240
198,26624,10240
199,28672,10240
207,45056,10240
208,47104,10240
209,49152,10240
213,57344,10240
214,59392,10240
215,61440,10240
234,24576,12288
235,26624,12288
236,28672,12288
244,45056,12288
245,47104,12288
250,57344,12288
251,59392,12288
252,61440,12288
271,24576,14336
272,26624,14336
273,28672,14336
282,47104,14336
288,59392,14336
289,61440,14336
309,26624,16384
310,28672,16384
311,30720,16384
319,47104,16384
320,49152,16384
321,51200,16384
325,59392,16384
326,61440,16384
327,63488,16384
347,28672,18432
348,30720,18432
349,32768,18432
356,47104,18432
357,49152,18432
358,51200,18432
359,53248,18432
363,61440,18432
364,63488,18432
365,65536,18432
384,28672,20480
385,30720,20480
386,32768,20480
387,34816,20480
393,47104,20480
394,49152,20480
395,51200,20480
396,53248,20480
397,55296,20480
400,61440,20480
401,63488,20480
402,65536,20480
422,30720,22528
423,32768,22528
424,34816,22528
431,49152,22528
432,51200,22528
433,53248,22528
434,55296,22528
438,63488,22528
439,65536,22528
459,30720,24576
460,32768,24576
461,34816,24576
468,49152,24576
469,51200,24576
470,53248,24576
471,55296,24576
472,57344,24576
475,63488,24576
476,65536,24576
477,67584,24576
496,30720,26624
497,32768,26624
498,34816,26624
499,36864,26624
506,51200,26624
507,53248,26624
508,55296,26624
509,57344,26624
510,59392,26624
511,61440,26624
512,63488,26624
513,65536,26624
514,67584,26624
533,30720,28672
534,32768,28672
535,34816,28672
536,36864,28672
544,53248,28672
545,55296,28672
546,57344,28672
547,59392,28672
548,61440,28672
549,63488,28672
550,65536,28672
551,67584,28672
571,32768,30720
572,34816,30720
573,36864,30720
579,49152,30720
581,53248,30720
582,55296,30720
583,57344,30720
585,61440,30720
586,63488,30720
587,65536,30720
588,67584,30720
594,4096,32768
595,6144,32768
599,14336,32768
600,16384,32768
609,34816,32768
610,36864,32768
611,38912,32768
616,49152,32768
617,51200,32768
620,57344,32768
622,61440,32768
623,63488,32768
624,65536,32768
636,14336,34816
637,16384,34816
646,34816,34816
647,36864,34816
648,38912,34816
651,45056,34816
652,47104,34816
653,49152,34816
654,51200,34816
659,61440,34816
660,63488,34816
661,65536,34816
674,16384,36864
683,34816,36864
684,36864,36864
685,38912,36864
695,59392,36864
696,61440,36864
697,63488,36864
698,65536,36864
699,67584,36864
711,16384,38912
720,34816,38912
721,36864,38912
722,38912,38912
732,59392,38912
733,61440,38912
734,63488,38912
735,65536,38912
736,67584,38912
748,16384,40960
758,36864,40960
759,38912,40960
771,63488,40960
785,16384,43008
796,38912,43008
808,63488,43008
809,65536,43008
833,38912,45056
859,16384,47104
896,16384,49152
897,18432,49152
907,38912,49152
972,20480,53248
1009,20480,55296
1010,22528,55296
1046,20480,57344
1047,22528,57344
1084,22528,59392
