bag_id,x,y
53,10240,2048
98,4096,4096
99,6144,4096
100,8192,4096
101,10240,4096
102,12288,4096
103,14336,4096
135,79872,4096
136,81920,4096
137,83968,4096
138,86016,4096
139,88064,4096
140,90112,4096
145,2048,6144
146,4096,6144
147,6144,6144
148,8192,6144
149,10240,6144
150,12288,6144
151,14336,6144
152,16384,6144
153,18432,6144
182,77824,6144
183,79872,6144
184,81920,6144
185,83968,6144
186,86016,6144
187,88064,6144
188,90112,6144
189,92160,6144
193,2048,8192
194,4096,8192
195,6144,8192
196,8192,8192
197,10240,8192
198,12288,8192
199,14336,8192
200,16384,8192
201,18432,8192
202,20480,8192
229,75776,8192
230,77824,8192
231,79872,8192
232,81920,8192
233,83968,8192
234,86016,8192
235,88064,8192
236,90112,8192
237,92160,8192
242,4096,10240
243,6144,10240
244,8192,10240
245,10240,10240
246,12288,10240
247,14336,10240
248,16384,10240
249,18432,10240
250,20480,10240
276,73728,10240
277,75776,10240
278,77824,10240
279,79872,10240
280,81920,10240
281,83968,10240
282,86016,10240
283,88064,10240
284,90112,10240
285,92160,10240
286,94208,10240
290,4096,12288
291,6144,12288
292,8192,12288
293,10240,12288
294,12288,12288
295,14336,12288
296,16384,12288
297,18432,12288
298,20480,12288
325,75776,12288
326,77824,12288
327,79872,12288
328,81920,12288
329,83968,12288
330,86016,12288
331,88064,12288
332,90112,12288
333,92160,12288
335,96256,12288
339,6144,14336
340,8192,14336
341,10240,14336
342,12288,14336
343,14336,14336
344,16384,14336
345,18432,14336
346,20480,14336
347,22528,14336
374,77824,14336
375,79872,14336
376,81920,14336
377,83968,14336
378,86016,14336
379,88064,14336
380,90112,14336
381,92160,14336
387,6144,16384
388,8192,16384
389,10240,16384
390,12288,16384
391,14336,16384
392,16384,16384
393,18432,16384
422,77824,16384
423,79872,16384
424,81920,16384
425,83968,16384
426,86016,16384
427,88064,16384
428,90112,16384
429,92160,16384
436,8192,18432
437,10240,18432
438,12288,18432
439,14336,18432
440,16384,18432
441,18432,18432
471,79872,18432
472,81920,18432
473,83968,18432
474,86016,18432
475,88064,18432
