bag_id,x,y
39,79872,0
47,10240,2048
48,12288,2048
49,14336,2048
77,71680,2048
78,73728,2048
79,75776,2048
80,77824,2048
81,79872,2048
82,81920,2048
87,6144,4096
88,8192,4096
89,10240,4096
90,12288,4096
91,14336,4096
92,16384,4096
118,69632,4096
119,71680,4096
120,73728,4096
121,75776,4096
122,77824,4096
123,79872,4096
124,81920,4096
128,4096,6144
129,6144,6144
130,8192,6144
131,10240,6144
132,12288,6144
133,14336,6144
134,16384,6144
160,69632,6144
161,71680,6144
162,73728,6144
163,75776,6144
164,77824,6144
165,79872,6144
166,81920,6144
170,4096,8192
171,6144,8192
172,8192,8192
173,10240,8192
174,12288,8192
175,14336,8192
176,16384,8192
177,18432,8192
202,69632,8192
203,71680,8192
204,73728,8192
205,75776,8192
206,77824,8192
207,79872,8192
208,81920,8192
212,4096,10240
213,6144,10240
214,8192,10240
215,10240,10240
216,12288,10240
217,14336,10240
218,16384,10240
219,18432,10240
243,67584,10240
244,69632,10240
245,71680,10240
246,73728,10240
247,75776,10240
248,77824,10240
249,79872,10240
250,81920,10240
251,83968,10240
253,2048,12288
254,4096,12288
255,6144,12288
256,8192,12288
257,10240,12288
258,12288,12288
259,14336,12288
260,16384,12288
261,18432,12288
262,20480,12288
285,67584,12288
286,69632,12288
287,71680,12288
288,73728,12288
289,75776,12288
290,77824,12288
291,79872,12288
292,81920,12288
293,83968,12288
295,2048,14336
296,4096,14336
297,6144,14336
298,8192,14336
299,10240,14336
300,12288,14336
301,14336,14336
302,16384,14336
327,67584,14336
328,69632,14336
329,71680,14336
330,73728,14336
331,75776,14336
332,77824,14336
333,79872,14336
334,81920,14336
337,2048,16384
338,4096,16384
339,6144,16384
340,8192,16384
341,10240,16384
342,12288,16384
343,14336,16384
344,16384,16384
369,67584,16384
370,69632,16384
371,71680,16384
372,73728,16384
373,75776,16384
374,77824,16384
375,79872,16384
376,81920,16384
379,2048,18432
380,4096,18432
389,22528,18432
