bag_id,x,y
100,53248,4096
101,55296,4096
102,57344,4096
103,59392,4096
104,61440,4096
116,10240,6144
117,12288,6144
118,14336,6144
119,16384,6144
136,51200,6144
137,53248,6144
138,55296,6144
139,57344,6144
140,59392,6144
141,61440,6144
143,65536,6144
152,8192,8192
153,10240,8192
154,12288,8192
155,14336,8192
156,16384,8192
157,18432,8192
173,51200,8192
174,53248,8192
178,61440,8192
180,65536,8192
188,6144,10240
189,8192,10240
190,10240,10240
192,14336,10240
193,16384,10240
194,18432,10240
210,51200,10240
211,53248,10240
212,55296,10240
213,57344,10240
214,59392,10240
215,61440,10240
216,63488,10240
217,65536,10240
218,67584,10240
225,6144,12288
226,8192,12288
227,10240,12288
228,12288,12288
229,14336,12288
230,16384,12288
231,18432,12288
232,20480,12288
247,51200,12288
248,53248,12288
249,55296,12288
250,57344,12288
251,59392,12288
252,61440,12288
253,63488,12288
254,65536,12288
255,67584,12288
263,8192,14336
264,10240,14336
265,12288,14336
266,14336,14336
267,16384,14336
268,18432,14336
269,20480,14336
270,22528,14336
284,51200,14336
285,53248,14336
286,55296,14336
287,57344,14336
288,59392,14336
289,61440,14336
290,63488,14336
291,65536,14336
292,67584,14336
293,69632,14336
294,71680,14336
300,8192,16384
301,10240,16384
302,12288,16384
303,14336,16384
304,16384,16384
305,18432,16384
306,20480,16384
307,22528,16384
322,53248,16384
323,55296,16384
324,57344,16384
325,59392,16384
326,61440,16384
327,63488,16384
337,8192,18432
338,10240,18432
339,12288,18432
340,14336,18432
341,16384,18432
342,18432,18432
343,20480,18432
359,53248,18432
360,55296,18432
361,57344,18432
362,59392,18432
363,61440,18432
364,63488,18432
374,8192,20480
375,10240,20480
376,12288,20480
377,14336,20480
378,16384,20480
379,18432,20480
397,55296,20480
398,57344,20480
399,59392,20480
400,61440,20480
401,63488,20480
412,10240,22528
413,12288,22528
414,14336,22528
415,16384,22528
416,18432,22528
435,57344,22528
436,59392,22528
437,61440,22528
438,63488,22528
450,12288,24576
451,14336,24576
452,16384,24576
453,18432,24576
