bag_id,x,y
38,77824,0
39,79872,0
82,77824,2048
83,79872,2048
119,63488,4096
125,75776,4096
126,77824,4096
127,79872,4096
137,10240,6144
138,12288,6144
163,63488,6144
169,75776,6144
170,77824,6144
171,79872,6144
173,83968,6144
174,86016,6144
175,88064,6144
185,18432,8192
207,63488,8192
208,65536,8192
213,75776,8192
214,77824,8192
215,79872,8192
216,81920,8192
217,83968,8192
218,86016,8192
219,88064,8192
229,18432,10240
230,20480,10240
251,63488,10240
252,65536,10240
253,67584,10240
256,73728,10240
257,75776,10240
258,77824,10240
259,79872,10240
260,81920,10240
261,83968,10240
262,86016,10240
265,2048,12288
266,4096,12288
271,14336,12288
272,16384,12288
273,18432,12288
274,20480,12288
295,63488,12288
296,65536,12288
297,67584,12288
298,69632,12288
300,73728,12288
301,75776,12288
302,77824,12288
303,79872,12288
304,81920,12288
305,83968,12288
309,2048,14336
310,4096,14336
314,12288,14336
315,14336,14336
316,16384,14336
317,18432,14336
339,63488,14336
340,65536,14336
341,67584,14336
342,69632,14336
344,73728,14336
345,75776,14336
346,77824,14336
347,79872,14336
348,81920,14336
353,2048,16384
354,4096,16384
355,6144,16384
357,10240,16384
358,12288,16384
359,14336,16384
360,16384,16384
361,18432,16384
383,63488,16384
384,65536,16384
385,67584,16384
386,69632,16384
388,73728,16384
389,75776,16384
390,77824,16384
398,4096,18432
399,6144,18432
400,8192,18432
401,10240,18432
402,12288,18432
403,14336,18432
404,16384,18432
442,4096,20480
443,6144,20480
444,8192,20480
445,10240,20480
446,12288,20480
447,14336,20480
485,2048,22528
486,4096,22528
487,6144,22528
488,8192,22528
489,10240,22528
529,2048,24576
530,4096,24576
531,6144,24576
