bag_id,x,y
34,69632,0
47,20480,2048
48,22528,2048
70,67584,2048
71,69632,2048
72,71680,2048
73,73728,2048
77,6144,4096
78,8192,4096
79,10240,4096
82,16384,4096
83,18432,4096
84,20480,4096
85,22528,4096
86,24576,4096
106,65536,4096
107,67584,4096
108,69632,4096
109,71680,4096
110,73728,4096
112,2048,6144
113,4096,6144
114,6144,6144
115,8192,6144
116,10240,6144
117,12288,6144
118,14336,6144
119,16384,6144
120,18432,6144
121,20480,6144
122,22528,6144
123,24576,6144
137,53248,6144
138,55296,6144
139,57344,6144
140,59392,6144
141,61440,6144
142,63488,6144
143,65536,6144
144,67584,6144
145,69632,6144
146,71680,6144
149,2048,8192
150,4096,8192
151,6144,8192
152,8192,8192
153,10240,8192
154,12288,8192
155,14336,8192
156,16384,8192
157,18432,8192
158,20480,8192
159,22528,8192
173,51200,8192
174,53248,8192
175,55296,8192
176,57344,8192
177,59392,8192
178,61440,8192
179,63488,8192
180,65536,8192
181,67584,8192
182,69632,8192
183,71680,8192
187,4096,10240
188,6144,10240
189,8192,10240
190,10240,10240
191,12288,10240
192,14336,10240
193,16384,10240
194,18432,10240
195,20480,10240
196,22528,10240
210,51200,10240
211,53248,10240
212,55296,10240
213,57344,10240
214,59392,10240
215,61440,10240
216,63488,10240
217,65536,10240
218,67584,10240
219,69632,10240
220,71680,10240
225,6144,12288
226,8192,12288
227,10240,12288
228,12288,12288
229,14336,12288
230,16384,12288
231,18432,12288
232,20480,12288
233,22528,12288
234,24576,12288
248,53248,12288
249,55296,12288
250,57344,12288
251,59392,12288
252,61440,12288
253,63488,12288
254,65536,12288
255,67584,12288
256,69632,12288
257,71680,12288
258,73728,12288
263,8192,14336
264,10240,14336
265,12288,14336
266,14336,14336
267,16384,14336
268,18432,14336
269,20480,14336
270,22528,14336
271,24576,14336
286,55296,14336
287,57344,14336
288,59392,14336
289,61440,14336
290,63488,14336
291,65536,14336
292,67584,14336
293,69632,14336
294,71680,14336
295,73728,14336
300,8192,16384
301,10240,16384
302,12288,16384
303,14336,16384
304,16384,16384
305,18432,16384
306,20480,16384
307,22528,16384
308,24576,16384
324,57344,16384
325,59392,16384
326,61440,16384
327,63488,16384
328,65536,16384
329,67584,16384
330,69632,16384
331,71680,16384
337,8192,18432
338,10240,18432
339,12288,18432
340,14336,18432
341,16384,18432
342,18432,18432
343,20480,18432
361,57344,18432
362,59392,18432
363,61440,18432
364,63488,18432
365,65536,18432
366,67584,18432
367,69632,18432
375,10240,20480
376,12288,20480
377,14336,20480
378,16384,20480
379,18432,20480
399,59392,20480
400,61440,20480
401,63488,20480
402,65536,20480
403,67584,20480
