bag_id,x,y
213,18432,8192
240,73728,8192
241,75776,8192
259,8192,10240
261,12288,10240
262,14336,10240
263,16384,10240
264,18432,10240
267,24576,10240
268,26624,10240
269,28672,10240
288,67584,10240
289,69632,10240
291,73728,10240
292,75776,10240
293,77824,10240
294,79872,10240
297,86016,10240
298,88064,10240
310,8192,12288
311,10240,12288
312,12288,12288
314,16384,12288
315,18432,12288
317,22528,12288
318,24576,12288
319,26624,12288
320,28672,12288
321,30720,12288
322,32768,12288
339,67584,12288
340,69632,12288
341,71680,12288
343,75776,12288
344,77824,12288
347,83968,12288
348,86016,12288
349,88064,12288
350,90112,12288
353,96256,12288
361,8192,14336
362,10240,14336
363,12288,14336
364,14336,14336
365,16384,14336
366,18432,14336
367,20480,14336
368,22528,14336
369,24576,14336
370,26624,14336
371,28672,14336
372,30720,14336
373,32768,14336
374,34816,14336
390,67584,14336
391,69632,14336
392,71680,14336
393,73728,14336
394,75776,14336
395,77824,14336
397,81920,14336
398,83968,14336
400,88064,14336
401,90112,14336
402,92160,14336
404,96256,14336
413,10240,16384
414,12288,16384
415,14336,16384
416,16384,16384
417,18432,16384
418,20480,16384
419,22528,16384
420,24576,16384
421,26624,16384
422,28672,16384
423,30720,16384
424,32768,16384
425,34816,16384
426,36864,16384
442,69632,16384
443,71680,16384
444,73728,16384
445,75776,16384
446,77824,16384
447,79872,16384
448,81920,16384
449,83968,16384
450,86016,16384
451,88064,16384
452,90112,16384
453,92160,16384
454,94208,16384
455,96256,16384
467,16384,18432
468,18432,18432
469,20480,18432
470,22528,18432
471,24576,18432
472,26624,18432
473,28672,18432
474,30720,18432
475,32768,18432
476,34816,18432
477,36864,18432
496,75776,18432
497,77824,18432
498,79872,18432
499,81920,18432
500,83968,18432
501,86016,18432
502,88064,18432
503,90112,18432
504,92160,18432
505,94208,18432
506,96256,18432
521,22528,20480
522,24576,20480
523,26624,20480
524,28672,20480
525,30720,20480
526,32768,20480
527,34816,20480
549,79872,20480
550,81920,20480
551,83968,20480
552,86016,20480
553,88064,20480
554,90112,20480
555,92160,20480
557,96256,20480
