bag_id,x,y
129,75776,4096
130,77824,4096
131,79872,4096
132,81920,4096
133,83968,4096
141,6144,6144
142,8192,6144
175,75776,6144
176,77824,6144
177,79872,6144
178,81920,6144
179,83968,6144
180,86016,6144
181,88064,6144
185,2048,8192
186,4096,8192
187,6144,8192
188,8192,8192
189,10240,8192
190,12288,8192
191,14336,8192
220,73728,8192
221,75776,8192
222,77824,8192
223,79872,8192
224,81920,8192
225,83968,8192
226,86016,8192
227,88064,8192
228,90112,8192
231,2048,10240
232,4096,10240
233,6144,10240
234,8192,10240
235,10240,10240
236,12288,10240
237,14336,10240
238,16384,10240
267,75776,10240
268,77824,10240
269,79872,10240
270,81920,10240
271,83968,10240
272,86016,10240
273,88064,10240
274,90112,10240
277,2048,12288
278,4096,12288
279,6144,12288
280,8192,12288
281,10240,12288
282,12288,12288
283,14336,12288
284,16384,12288
313,75776,12288
314,77824,12288
315,79872,12288
316,81920,12288
317,83968,12288
318,86016,12288
319,88064,12288
320,90112,12288
321,92160,12288
323,2048,14336
324,4096,14336
325,6144,14336
326,8192,14336
327,10240,14336
328,12288,14336
329,14336,14336
330,16384,14336
331,18432,14336
360,77824,14336
361,79872,14336
362,81920,14336
363,83968,14336
364,86016,14336
365,88064,14336
366,90112,14336
370,4096,16384
371,6144,16384
372,8192,16384
373,10240,16384
374,12288,16384
375,14336,16384
376,16384,16384
377,18432,16384
