bag_id,x,y
39,79872,0
62,22528,2048
88,75776,2048
89,77824,2048
90,79872,2048
91,81920,2048
92,83968,2048
93,86016,2048
111,18432,4096
112,20480,4096
113,22528,4096
114,24576,4096
115,26624,4096
116,28672,4096
137,71680,4096
138,73728,4096
139,75776,4096
140,77824,4096
141,79872,4096
142,81920,4096
143,83968,4096
144,86016,4096
145,88064,4096
159,12288,6144
160,14336,6144
161,16384,6144
162,18432,6144
163,20480,6144
164,22528,6144
165,24576,6144
166,26624,6144
167,28672,6144
186,67584,6144
187,69632,6144
188,71680,6144
189,73728,6144
190,75776,6144
191,77824,6144
192,79872,6144
193,81920,6144
194,83968,6144
195,86016,6144
196,88064,6144
208,8192,8192
210,12288,8192
211,14336,8192
212,16384,8192
213,18432,8192
214,20480,8192
215,22528,8192
216,24576,8192
217,26624,8192
218,28672,8192
219,30720,8192
236,65536,8192
237,67584,8192
238,69632,8192
239,71680,8192
240,73728,8192
241,75776,8192
242,77824,8192
243,79872,8192
244,81920,8192
245,83968,8192
246,86016,8192
247,88064,8192
248,90112,8192
261,12288,10240
262,14336,10240
263,16384,10240
264,18432,10240
265,20480,10240
266,22528,10240
267,24576,10240
268,26624,10240
269,28672,10240
270,30720,10240
287,65536,10240
288,67584,10240
289,69632,10240
290,71680,10240
291,73728,10240
292,75776,10240
293,77824,10240
294,79872,10240
295,81920,10240
296,83968,10240
297,86016,10240
298,88064,10240
299,90112,10240
300,92160,10240
312,12288,12288
313,14336,12288
314,16384,12288
315,18432,12288
316,20480,12288
317,22528,12288
318,24576,12288
319,26624,12288
320,28672,12288
321,30720,12288
322,32768,12288
340,69632,12288
341,71680,12288
342,73728,12288
343,75776,12288
344,77824,12288
345,79872,12288
346,81920,12288
347,83968,12288
348,86016,12288
349,88064,12288
350,90112,12288
351,92160,12288
364,14336,14336
365,16384,14336
366,18432,14336
367,20480,14336
368,22528,14336
369,24576,14336
370,26624,14336
371,28672,14336
372,30720,14336
373,32768,14336
374,34816,14336
392,71680,14336
393,73728,14336
394,75776,14336
395,77824,14336
396,79872,14336
397,81920,14336
398,83968,14336
399,86016,14336
400,88064,14336
401,90112,14336
402,92160,14336
415,14336,16384
416,16384,16384
417,18432,16384
418,20480,16384
419,22528,16384
420,24576,16384
421,26624,16384
422,28672,16384
423,30720,16384
424,32768,16384
425,34816,16384
444,73728,16384
445,75776,16384
446,77824,16384
447,79872,16384
448,81920,16384
449,83968,16384
451,88064,16384
468,18432,18432
469,20480,18432
470,22528,18432
471,24576,18432
472,26624,18432
473,28672,18432
474,30720,18432
475,32768,18432
484,51200,18432
485,53248,18432
534,49152,20480
639,55296,24576
