bag_id,x,y
109,98304,2048
126,8192,4096
169,96256,4096
170,98304,4096
171,100352,4096
172,102400,4096
173,104448,4096
174,106496,4096
175,108544,4096
185,4096,6144
186,6144,6144
187,8192,6144
188,10240,6144
189,12288,6144
190,14336,6144
229,94208,6144
230,96256,6144
231,98304,6144
232,100352,6144
233,102400,6144
234,104448,6144
235,106496,6144
236,108544,6144
237,110592,6144
246,4096,8192
247,6144,8192
248,8192,8192
249,10240,8192
250,12288,8192
251,14336,8192
252,16384,8192
290,94208,8192
291,96256,8192
292,98304,8192
293,100352,8192
294,102400,8192
295,104448,8192
296,106496,8192
297,108544,8192
298,110592,8192
299,112640,8192
306,2048,10240
307,4096,10240
308,6144,10240
309,8192,10240
310,10240,10240
311,12288,10240
312,14336,10240
313,16384,10240
314,18432,10240
351,94208,10240
352,96256,10240
353,98304,10240
354,100352,10240
355,102400,10240
356,104448,10240
357,106496,10240
358,108544,10240
359,110592,10240
360,112640,10240
361,114688,10240
367,2048,12288
368,4096,12288
369,6144,12288
370,8192,12288
371,10240,12288
372,12288,12288
373,14336,12288
374,16384,12288
375,18432,12288
376,20480,12288
412,94208,12288
413,96256,12288
414,98304,12288
415,100352,12288
416,102400,12288
417,104448,12288
418,106496,12288
419,108544,12288
420,110592,12288
421,112640,12288
422,114688,12288
423,116736,12288
428,2048,14336
429,4096,14336
430,6144,14336
431,8192,14336
432,10240,14336
433,12288,14336
434,14336,14336
435,16384,14336
436,18432,14336
437,20480,14336
473,94208,14336
474,96256,14336
475,98304,14336
476,100352,14336
477,102400,14336
478,104448,14336
479,106496,14336
480,108544,14336
481,110592,14336
482,112640,14336
483,114688,14336
484,116736,14336
489,2048,16384
490,4096,16384
491,6144,16384
492,8192,16384
493,10240,16384
494,12288,16384
495,14336,16384
496,16384,16384
497,18432,16384
498,20480,16384
499,22528,16384
535,96256,16384
536,98304,16384
537,100352,16384
538,102400,16384
539,104448,16384
540,106496,16384
541,108544,16384
542,110592,16384
543,112640,16384
544,114688,16384
545,116736,16384
546,118784,16384
550,2048,18432
551,4096,18432
552,6144,18432
553,8192,18432
554,10240,18432
555,12288,18432
556,14336,18432
557,16384,18432
558,18432,18432
559,20480,18432
560,22528,18432
596,96256,18432
597,98304,18432
598,100352,18432
599,102400,18432
600,104448,18432
601,106496,18432
602,108544,18432
603,110592,18432
604,112640,18432
605,114688,18432
606,116736,18432
607,118784,18432
608,120832,18432
612,4096,20480
613,6144,20480
614,8192,20480
615,10240,20480
616,12288,20480
617,14336,20480
618,16384,20480
619,18432,20480
620,20480,20480
621,22528,20480
622,24576,20480
658,98304,20480
659,100352,20480
660,102400,20480
661,104448,20480
662,106496,20480
663,108544,20480
664,110592,20480
665,112640,20480
666,114688,20480
667,116736,20480
668,118784,20480
669,120832,20480
673,4096,22528
674,6144,22528
675,8192,22528
676,10240,22528
677,12288,22528
678,14336,22528
679,16384,22528
680,18432,22528
681,20480,22528
682,22528,22528
683,24576,22528
684,26624,22528
719,98304,22528
720,100352,22528
721,102400,22528
722,104448,22528
723,106496,22528
724,108544,22528
725,110592,22528
726,112640,22528
727,114688,22528
728,116736,22528
734,4096,24576
735,6144,24576
736,8192,24576
737,10240,24576
738,12288,24576
739,14336,24576
740,16384,24576
741,18432,24576
742,20480,24576
743,22528,24576
744,24576,24576
745,26624,24576
781,100352,24576
782,102400,24576
783,104448,24576
784,106496,24576
785,108544,24576
786,110592,24576
787,112640,24576
788,114688,24576
789,116736,24576
796,6144,26624
797,8192,26624
798,10240,26624
799,12288,26624
800,14336,26624
801,16384,26624
802,18432,26624
803,20480,26624
804,22528,26624
805,24576,26624
806,26624,26624
807,28672,26624
843,102400,26624
844,104448,26624
845,106496,26624
846,108544,26624
847,110592,26624
848,112640,26624
849,114688,26624
857,6144,28672
858,8192,28672
859,10240,28672
860,12288,28672
861,14336,28672
862,16384,28672
863,18432,28672
864,20480,28672
865,22528,28672
866,24576,28672
867,26624,28672
868,28672,28672
904,102400,28672
905,104448,28672
906,106496,28672
907,108544,28672
908,110592,28672
909,112640,28672
919,8192,30720
920,10240,30720
921,12288,30720
922,14336,30720
923,16384,30720
924,18432,30720
925,20480,30720
981,10240,32768
982,12288,32768
983,14336,32768
984,16384,32768
