bag_id,x,y
117,2048,4096
118,4096,4096
119,6144,4096
121,10240,4096
123,14336,4096
124,16384,4096
142,53248,4096
143,55296,4096
175,2048,6144
176,4096,6144
177,6144,6144
180,12288,6144
181,14336,6144
182,16384,6144
183,18432,6144
200,53248,6144
201,55296,6144
202,57344,6144
204,61440,6144
223,100352,6144
224,102400,6144
233,2048,8192
234,4096,8192
235,6144,8192
236,8192,8192
239,14336,8192
240,16384,8192
258,53248,8192
259,55296,8192
260,57344,8192
261,59392,8192
281,100352,8192
282,102400,8192
283,104448,8192
286,110592,8192
287,112640,8192
292,4096,10240
293,6144,10240
294,8192,10240
295,10240,10240
296,12288,10240
297,14336,10240
298,16384,10240
317,55296,10240
318,57344,10240
319,59392,10240
340,102400,10240
341,104448,10240
344,110592,10240
345,112640,10240
351,6144,12288
352,8192,12288
353,10240,12288
354,12288,12288
375,55296,12288
376,57344,12288
377,59392,12288
378,61440,12288
398,102400,12288
399,104448,12288
400,106496,12288
402,110592,12288
403,112640,12288
409,6144,14336
410,8192,14336
434,57344,14336
435,59392,14336
436,61440,14336
438,65536,14336
457,104448,14336
458,106496,14336
459,108544,14336
492,57344,16384
493,59392,16384
494,61440,16384
495,63488,16384
496,65536,16384
497,67584,16384
515,104448,16384
516,106496,16384
517,108544,16384
