bag_id,x,y
43,88064,0
44,90112,0
45,92160,0
89,81920,2048
90,83968,2048
91,86016,2048
92,88064,2048
93,90112,2048
94,92160,2048
137,79872,4096
138,81920,4096
139,83968,4096
140,86016,4096
141,88064,4096
142,90112,4096
143,92160,4096
144,94208,4096
183,73728,6144
184,75776,6144
185,77824,6144
186,79872,6144
187,81920,6144
188,83968,6144
189,86016,6144
190,88064,6144
191,90112,6144
192,92160,6144
230,69632,8192
231,71680,8192
232,73728,8192
233,75776,8192
234,77824,8192
235,79872,8192
236,81920,8192
237,83968,8192
238,86016,8192
239,88064,8192
240,90112,8192
241,92160,8192
242,94208,8192
252,14336,10240
253,16384,10240
254,18432,10240
255,20480,10240
256,22528,10240
257,24576,10240
258,26624,10240
279,69632,10240
280,71680,10240
281,73728,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
287,86016,10240
288,88064,10240
289,90112,10240
290,92160,10240
291,94208,10240
292,96256,10240
293,98304,10240
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
307,26624,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
332,77824,12288
333,79872,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
338,90112,12288
339,92160,12288
340,94208,12288
341,96256,12288
342,98304,12288
344,2048,14336
345,4096,14336
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
360,34816,14336
378,71680,14336
379,73728,14336
380,75776,14336
381,77824,14336
382,79872,14336
383,81920,14336
384,83968,14336
385,86016,14336
386,88064,14336
387,90112,14336
388,92160,14336
389,94208,14336
390,96256,14336
394,4096,16384
395,6144,16384
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
409,34816,16384
428,73728,16384
429,75776,16384
430,77824,16384
431,79872,16384
432,81920,16384
433,83968,16384
434,86016,16384
435,88064,16384
443,4096,18432
444,6144,18432
445,8192,18432
446,10240,18432
447,12288,18432
448,14336,18432
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
455,28672,18432
456,30720,18432
458,34816,18432
478,75776,18432
479,77824,18432
480,79872,18432
481,81920,18432
482,83968,18432
493,6144,20480
494,8192,20480
495,10240,20480
496,12288,20480
497,14336,20480
498,16384,20480
499,18432,20480
500,20480,20480
501,22528,20480
502,24576,20480
503,26624,20480
504,28672,20480
505,30720,20480
527,75776,20480
528,77824,20480
529,79872,20480
530,81920,20480
542,6144,22528
543,8192,22528
544,10240,22528
545,12288,22528
546,14336,22528
547,16384,22528
548,18432,22528
549,20480,22528
550,22528,22528
551,24576,22528
552,26624,22528
553,28672,22528
554,30720,22528
592,8192,24576
593,10240,24576
594,12288,24576
595,14336,24576
596,16384,24576
597,18432,24576
600,24576,24576
601,26624,24576
641,8192,26624
642,10240,26624
643,12288,26624
644,14336,26624
645,16384,26624
