bag_id,x,y
66,57344,2048
67,59392,2048
68,61440,2048
69,63488,2048
70,65536,2048
82,12288,4096
83,14336,4096
84,16384,4096
85,18432,4096
86,20480,4096
87,22528,4096
88,24576,4096
89,26624,4096
101,51200,4096
104,57344,4096
105,59392,4096
106,61440,4096
107,63488,4096
108,65536,4096
109,67584,4096
110,69632,4096
111,71680,4096
120,12288,6144
121,14336,6144
123,18432,6144
124,20480,6144
125,22528,6144
126,24576,6144
127,26624,6144
141,55296,6144
142,57344,6144
143,59392,6144
144,61440,6144
145,63488,6144
146,65536,6144
147,67584,6144
148,69632,6144
149,71680,6144
158,12288,8192
159,14336,8192
160,16384,8192
161,18432,8192
163,22528,8192
164,24576,8192
165,26624,8192
166,28672,8192
178,53248,8192
179,55296,8192
180,57344,8192
181,59392,8192
182,61440,8192
183,63488,8192
185,67584,8192
186,69632,8192
187,71680,8192
195,10240,10240
196,12288,10240
197,14336,10240
198,16384,10240
199,18432,10240
202,24576,10240
203,26624,10240
204,28672,10240
214,49152,10240
215,51200,10240
216,53248,10240
217,55296,10240
218,57344,10240
219,59392,10240
220,61440,10240
221,63488,10240
222,65536,10240
223,67584,10240
224,69632,10240
231,6144,12288
232,8192,12288
233,10240,12288
234,12288,12288
235,14336,12288
236,16384,12288
237,18432,12288
238,20480,12288
239,22528,12288
240,24576,12288
241,26624,12288
252,49152,12288
253,51200,12288
254,53248,12288
255,55296,12288
256,57344,12288
257,59392,12288
258,61440,12288
259,63488,12288
260,65536,12288
261,67584,12288
262,69632,12288
269,6144,14336
270,8192,14336
271,10240,14336
272,12288,14336
273,14336,14336
274,16384,14336
275,18432,14336
276,20480,14336
277,22528,14336
278,24576,14336
279,26624,14336
289,47104,14336
291,51200,14336
292,53248,14336
293,55296,14336
294,57344,14336
295,59392,14336
296,61440,14336
297,63488,14336
307,6144,16384
308,8192,16384
309,10240,16384
310,12288,16384
311,14336,16384
312,16384,16384
313,18432,16384
314,20480,16384
315,22528,16384
327,47104,16384
