bag_id,x,y
29,59392,0
30,61440,0
64,57344,2048
65,59392,2048
66,61440,2048
67,63488,2048
68,65536,2048
69,67584,2048
70,69632,2048
79,14336,4096
81,18432,4096
82,20480,4096
84,24576,4096
99,55296,4096
100,57344,4096
101,59392,4096
102,61440,4096
103,63488,4096
104,65536,4096
105,67584,4096
106,69632,4096
113,10240,6144
114,12288,6144
115,14336,6144
116,16384,6144
117,18432,6144
118,20480,6144
119,22528,6144
120,24576,6144
135,55296,6144
136,57344,6144
137,59392,6144
138,61440,6144
139,63488,6144
140,65536,6144
141,67584,6144
142,69632,6144
147,6144,8192
148,8192,8192
149,10240,8192
150,12288,8192
151,14336,8192
152,16384,8192
153,18432,8192
154,20480,8192
155,22528,8192
175,63488,8192
176,65536,8192
177,67584,8192
178,69632,8192
183,6144,10240
184,8192,10240
185,10240,10240
186,12288,10240
187,14336,10240
188,16384,10240
189,18432,10240
190,20480,10240
191,22528,10240
213,67584,10240
214,69632,10240
219,6144,12288
226,20480,12288
227,22528,12288
247,63488,12288
248,65536,12288
283,63488,14336
284,65536,14336
297,18432,16384
317,59392,16384
333,18432,18432
