bag_id,x,y
91,14336,4096
92,16384,4096
93,18432,4096
94,20480,4096
95,22528,4096
119,71680,4096
120,73728,4096
121,75776,4096
132,12288,6144
133,14336,6144
134,16384,6144
135,18432,6144
136,20480,6144
137,22528,6144
138,24576,6144
160,69632,6144
161,71680,6144
162,73728,6144
163,75776,6144
164,77824,6144
165,79872,6144
173,10240,8192
174,12288,8192
175,14336,8192
176,16384,8192
177,18432,8192
178,20480,8192
179,22528,8192
201,67584,8192
202,69632,8192
203,71680,8192
204,73728,8192
205,75776,8192
206,77824,8192
207,79872,8192
215,10240,10240
216,12288,10240
217,14336,10240
218,16384,10240
219,18432,10240
220,20480,10240
221,22528,10240
242,65536,10240
243,67584,10240
244,69632,10240
245,71680,10240
246,73728,10240
247,75776,10240
248,77824,10240
256,8192,12288
257,10240,12288
258,12288,12288
259,14336,12288
260,16384,12288
261,18432,12288
262,20480,12288
263,22528,12288
283,63488,12288
284,65536,12288
285,67584,12288
286,69632,12288
287,71680,12288
288,73728,12288
289,75776,12288
290,77824,12288
291,79872,12288
297,6144,14336
298,8192,14336
299,10240,14336
300,12288,14336
301,14336,14336
302,16384,14336
303,18432,14336
304,20480,14336
305,22528,14336
306,24576,14336
307,26624,14336
325,63488,14336
326,65536,14336
327,67584,14336
328,69632,14336
329,71680,14336
330,73728,14336
331,75776,14336
332,77824,14336
339,6144,16384
340,8192,16384
341,10240,16384
342,12288,16384
343,14336,16384
344,16384,16384
345,18432,16384
346,20480,16384
347,22528,16384
348,24576,16384
349,26624,16384
366,61440,16384
367,63488,16384
368,65536,16384
369,67584,16384
370,69632,16384
371,71680,16384
372,73728,16384
373,75776,16384
374,77824,16384
375,79872,16384
376,81920,16384
380,4096,18432
381,6144,18432
382,8192,18432
383,10240,18432
384,12288,18432
385,14336,18432
386,16384,18432
387,18432,18432
388,20480,18432
389,22528,18432
390,24576,18432
391,26624,18432
392,28672,18432
406,57344,18432
407,59392,18432
408,61440,18432
409,63488,18432
410,65536,18432
411,67584,18432
412,69632,18432
413,71680,18432
414,73728,18432
415,75776,18432
416,77824,18432
417,79872,18432
418,81920,18432
421,2048,20480
422,4096,20480
423,6144,20480
424,8192,20480
425,10240,20480
426,12288,20480
427,14336,20480
428,16384,20480
429,18432,20480
430,20480,20480
431,22528,20480
432,24576,20480
433,26624,20480
434,28672,20480
448,57344,20480
449,59392,20480
450,61440,20480
451,63488,20480
452,65536,20480
453,67584,20480
454,69632,20480
455,71680,20480
456,73728,20480
457,75776,20480
458,77824,20480
459,79872,20480
460,81920,20480
461,83968,20480
463,2048,22528
464,4096,22528
465,6144,22528
466,8192,22528
467,10240,22528
468,12288,22528
469,14336,22528
470,16384,22528
471,18432,22528
472,20480,22528
473,22528,22528
474,24576,22528
475,26624,22528
476,28672,22528
490,57344,22528
491,59392,22528
492,61440,22528
493,63488,22528
494,65536,22528
495,67584,22528
496,69632,22528
497,71680,22528
498,73728,22528
499,75776,22528
500,77824,22528
501,79872,22528
502,81920,22528
503,83968,22528
505,2048,24576
506,4096,24576
510,12288,24576
511,14336,24576
512,16384,24576
513,18432,24576
514,20480,24576
515,22528,24576
516,24576,24576
517,26624,24576
531,55296,24576
532,57344,24576
533,59392,24576
534,61440,24576
535,63488,24576
536,65536,24576
537,67584,24576
538,69632,24576
539,71680,24576
540,73728,24576
541,75776,24576
542,77824,24576
543,79872,24576
544,81920,24576
545,83968,24576
553,14336,26624
554,16384,26624
555,18432,26624
556,20480,26624
557,22528,26624
558,24576,26624
559,26624,26624
560,28672,26624
573,55296,26624
574,57344,26624
579,67584,26624
580,69632,26624
581,71680,26624
582,73728,26624
583,75776,26624
584,77824,26624
585,79872,26624
586,81920,26624
587,83968,26624
596,16384,28672
597,18432,28672
598,20480,28672
599,22528,28672
600,24576,28672
601,26624,28672
622,69632,28672
623,71680,28672
624,73728,28672
625,75776,28672
626,77824,28672
627,79872,28672
628,81920,28672
629,83968,28672
665,71680,30720
666,73728,30720
667,75776,30720
668,77824,30720
669,79872,30720
670,81920,30720
