bag_id,x,y
93,86016,2048
139,75776,4096
140,77824,4096
141,79872,4096
142,81920,4096
143,83968,4096
144,86016,4096
145,88064,4096
146,90112,4096
147,92160,4096
159,12288,6144
160,14336,6144
161,16384,6144
162,18432,6144
163,20480,6144
164,22528,6144
189,73728,6144
190,75776,6144
191,77824,6144
192,79872,6144
193,81920,6144
194,83968,6144
195,86016,6144
196,88064,6144
197,90112,6144
198,92160,6144
199,94208,6144
207,6144,8192
208,8192,8192
209,10240,8192
210,12288,8192
211,14336,8192
212,16384,8192
213,18432,8192
214,20480,8192
215,22528,8192
216,24576,8192
240,73728,8192
241,75776,8192
242,77824,8192
243,79872,8192
244,81920,8192
245,83968,8192
246,86016,8192
247,88064,8192
248,90112,8192
249,92160,8192
250,94208,8192
257,4096,10240
258,6144,10240
259,8192,10240
260,10240,10240
261,12288,10240
262,14336,10240
263,16384,10240
264,18432,10240
265,20480,10240
266,22528,10240
267,24576,10240
291,73728,10240
292,75776,10240
293,77824,10240
294,79872,10240
295,81920,10240
296,83968,10240
297,86016,10240
298,88064,10240
299,90112,10240
300,92160,10240
301,94208,10240
302,96256,10240
307,2048,12288
308,4096,12288
309,6144,12288
310,8192,12288
311,10240,12288
312,12288,12288
313,14336,12288
314,16384,12288
315,18432,12288
316,20480,12288
317,22528,12288
318,24576,12288
319,26624,12288
343,75776,12288
344,77824,12288
345,79872,12288
346,81920,12288
347,83968,12288
348,86016,12288
349,88064,12288
350,90112,12288
351,92160,12288
352,94208,12288
353,96256,12288
358,2048,14336
359,4096,14336
360,6144,14336
361,8192,14336
362,10240,14336
363,12288,14336
364,14336,14336
365,16384,14336
366,18432,14336
367,20480,14336
368,22528,14336
369,24576,14336
370,26624,14336
371,28672,14336
372,30720,14336
373,32768,14336
395,77824,14336
396,79872,14336
397,81920,14336
398,83968,14336
399,86016,14336
400,88064,14336
401,90112,14336
402,92160,14336
403,94208,14336
404,96256,14336
405,98304,14336
406,100352,14336
410,4096,16384
411,6144,16384
412,8192,16384
413,10240,16384
414,12288,16384
415,14336,16384
416,16384,16384
417,18432,16384
418,20480,16384
419,22528,16384
420,24576,16384
421,26624,16384
422,28672,16384
423,30720,16384
424,32768,16384
448,81920,16384
449,83968,16384
450,86016,16384
451,88064,16384
452,90112,16384
453,92160,16384
454,94208,16384
455,96256,16384
456,98304,16384
457,100352,16384
462,6144,18432
463,8192,18432
464,10240,18432
465,12288,18432
466,14336,18432
467,16384,18432
468,18432,18432
469,20480,18432
470,22528,18432
471,24576,18432
472,26624,18432
473,28672,18432
474,30720,18432
475,32768,18432
499,81920,18432
500,83968,18432
501,86016,18432
502,88064,18432
503,90112,18432
504,92160,18432
505,94208,18432
506,96256,18432
507,98304,18432
508,100352,18432
516,12288,20480
517,14336,20480
518,16384,20480
519,18432,20480
520,20480,20480
521,22528,20480
522,24576,20480
523,26624,20480
524,28672,20480
525,30720,20480
526,32768,20480
552,86016,20480
553,88064,20480
554,90112,20480
555,92160,20480
556,94208,20480
557,96256,20480
558,98304,20480
559,100352,20480
560,102400,20480
569,16384,22528
570,18432,22528
571,20480,22528
572,22528,22528
573,24576,22528
574,26624,22528
575,28672,22528
576,30720,22528
577,32768,22528
604,88064,22528
605,90112,22528
606,92160,22528
607,94208,22528
608,96256,22528
609,98304,22528
610,100352,22528
623,22528,24576
624,24576,24576
625,26624,24576
626,28672,24576
627,30720,24576
659,96256,24576
660,98304,24576
