bag_id,x,y
73,65536,2048
83,2048,4096
84,4096,4096
108,53248,4096
109,55296,4096
110,57344,4096
111,59392,4096
112,61440,4096
113,63488,4096
114,65536,4096
115,67584,4096
121,79872,4096
124,2048,6144
125,4096,6144
126,6144,6144
127,8192,6144
150,55296,6144
151,57344,6144
152,59392,6144
153,61440,6144
154,63488,6144
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
162,79872,6144
163,81920,6144
165,2048,8192
166,4096,8192
167,6144,8192
168,8192,8192
169,10240,8192
170,12288,8192
191,55296,8192
192,57344,8192
193,59392,8192
194,61440,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
201,75776,8192
202,77824,8192
203,79872,8192
204,81920,8192
207,4096,10240
208,6144,10240
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
216,22528,10240
217,24576,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
243,77824,10240
244,79872,10240
245,81920,10240
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
255,18432,12288
256,20480,12288
257,22528,12288
258,24576,12288
295,16384,14336
296,18432,14336
298,22528,14336
299,24576,14336
