bag_id,x,y
38,10240,2048
70,8192,4096
71,10240,4096
72,12288,4096
100,2048,6144
101,4096,6144
102,6144,6144
103,8192,6144
104,10240,6144
105,12288,6144
133,2048,8192
134,4096,8192
135,6144,8192
136,8192,8192
137,10240,8192
138,12288,8192
139,14336,8192
140,16384,8192
158,53248,8192
159,55296,8192
166,2048,10240
167,4096,10240
168,6144,10240
169,8192,10240
170,10240,10240
171,12288,10240
172,14336,10240
173,16384,10240
174,18432,10240
191,53248,10240
192,55296,10240
193,57344,10240
200,4096,12288
201,6144,12288
202,8192,12288
203,10240,12288
204,12288,12288
205,14336,12288
206,16384,12288
207,18432,12288
221,47104,12288
222,49152,12288
223,51200,12288
224,53248,12288
225,55296,12288
233,4096,14336
234,6144,14336
235,8192,14336
236,10240,14336
237,12288,14336
238,14336,14336
239,16384,14336
254,47104,14336
255,49152,14336
256,51200,14336
257,53248,14336
258,55296,14336
259,57344,14336
260,59392,14336
266,4096,16384
267,6144,16384
268,8192,16384
269,10240,16384
270,12288,16384
271,14336,16384
287,47104,16384
288,49152,16384
289,51200,16384
290,53248,16384
291,55296,16384
292,57344,16384
293,59392,16384
294,61440,16384
321,49152,18432
322,51200,18432
323,53248,18432
324,55296,18432
325,57344,18432
326,59392,18432
327,61440,18432
328,63488,18432
354,49152,20480
355,51200,20480
356,53248,20480
357,55296,20480
358,57344,20480
359,59392,20480
360,61440,20480
387,49152,22528
388,51200,22528
389,53248,22528
390,55296,22528
391,57344,22528
392,59392,22528
