bag_id,x,y
65,2048,4096
66,4096,4096
67,6144,4096
68,8192,4096
69,10240,4096
89,51200,4096
90,53248,4096
91,55296,4096
92,57344,4096
93,59392,4096
97,2048,6144
98,4096,6144
99,6144,6144
100,8192,6144
101,10240,6144
121,51200,6144
122,53248,6144
123,55296,6144
124,57344,6144
125,59392,6144
129,2048,8192
130,4096,8192
131,6144,8192
132,8192,8192
133,10240,8192
134,12288,8192
153,51200,8192
154,53248,8192
155,55296,8192
156,57344,8192
157,59392,8192
158,61440,8192
162,4096,10240
163,6144,10240
164,8192,10240
165,10240,10240
166,12288,10240
185,51200,10240
186,53248,10240
187,55296,10240
188,57344,10240
189,59392,10240
190,61440,10240
195,6144,12288
196,8192,12288
197,10240,12288
198,12288,12288
217,51200,12288
218,53248,12288
219,55296,12288
220,57344,12288
221,59392,12288
226,4096,14336
227,6144,14336
228,8192,14336
229,10240,14336
230,12288,14336
249,51200,14336
250,53248,14336
251,55296,14336
252,57344,14336
253,59392,14336
259,6144,16384
260,8192,16384
261,10240,16384
262,12288,16384
280,49152,16384
281,51200,16384
282,53248,16384
283,55296,16384
284,57344,16384
285,59392,16384
290,4096,18432
291,6144,18432
292,8192,18432
293,10240,18432
312,49152,18432
313,51200,18432
314,53248,18432
315,55296,18432
316,57344,18432
322,4096,20480
323,6144,20480
324,8192,20480
345,51200,20480
346,53248,20480
347,55296,20480
