bag_id,x,y
53,18432,2048
54,20480,2048
95,14336,4096
96,16384,4096
97,18432,4096
98,20480,4096
99,22528,4096
100,24576,4096
101,26624,4096
127,79872,4096
128,81920,4096
137,10240,6144
138,12288,6144
139,14336,6144
140,16384,6144
141,18432,6144
142,20480,6144
143,22528,6144
144,24576,6144
145,26624,6144
167,71680,6144
168,73728,6144
169,75776,6144
170,77824,6144
171,79872,6144
172,81920,6144
173,83968,6144
174,86016,6144
179,6144,8192
180,8192,8192
181,10240,8192
182,12288,8192
183,14336,8192
184,16384,8192
185,18432,8192
186,20480,8192
187,22528,8192
188,24576,8192
189,26624,8192
208,65536,8192
209,67584,8192
210,69632,8192
211,71680,8192
212,73728,8192
213,75776,8192
214,77824,8192
215,79872,8192
216,81920,8192
217,83968,8192
218,86016,8192
221,2048,10240
222,4096,10240
223,6144,10240
224,8192,10240
225,10240,10240
226,12288,10240
227,14336,10240
228,16384,10240
229,18432,10240
230,20480,10240
231,22528,10240
232,24576,10240
233,26624,10240
250,61440,10240
251,63488,10240
252,65536,10240
253,67584,10240
254,69632,10240
255,71680,10240
256,73728,10240
257,75776,10240
258,77824,10240
259,79872,10240
260,81920,10240
261,83968,10240
262,86016,10240
265,2048,12288
266,4096,12288
267,6144,12288
268,8192,12288
269,10240,12288
270,12288,12288
271,14336,12288
272,16384,12288
273,18432,12288
274,20480,12288
275,22528,12288
276,24576,12288
277,26624,12288
278,28672,12288
294,61440,12288
295,63488,12288
296,65536,12288
297,67584,12288
298,69632,12288
299,71680,12288
300,73728,12288
301,75776,12288
302,77824,12288
303,79872,12288
304,81920,12288
305,83968,12288
306,86016,12288
307,88064,12288
309,2048,14336
310,4096,14336
311,6144,14336
312,8192,14336
313,10240,14336
314,12288,14336
315,14336,14336
316,16384,14336
317,18432,14336
318,20480,14336
319,22528,14336
320,24576,14336
338,61440,14336
339,63488,14336
340,65536,14336
341,67584,14336
342,69632,14336
343,71680,14336
344,73728,14336
345,75776,14336
346,77824,14336
347,79872,14336
348,81920,14336
349,83968,14336
350,86016,14336
351,88064,14336
354,4096,16384
355,6144,16384
356,8192,16384
357,10240,16384
358,12288,16384
359,14336,16384
360,16384,16384
361,18432,16384
383,63488,16384
384,65536,16384
385,67584,16384
386,69632,16384
387,71680,16384
388,73728,16384
389,75776,16384
390,77824,16384
391,79872,16384
392,81920,16384
393,83968,16384
394,86016,16384
395,88064,16384
399,6144,18432
400,8192,18432
401,10240,18432
428,65536,18432
429,67584,18432
431,71680,18432
432,73728,18432
