bag_id,x,y
71,61440,2048
72,63488,2048
110,57344,4096
111,59392,4096
112,61440,4096
113,63488,4096
114,65536,4096
115,67584,4096
116,69632,4096
150,55296,6144
151,57344,6144
152,59392,6144
153,61440,6144
154,63488,6144
155,65536,6144
156,67584,6144
157,69632,6144
158,71680,6144
159,73728,6144
191,55296,8192
192,57344,8192
193,59392,8192
194,61440,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
200,73728,8192
201,75776,8192
202,77824,8192
208,6144,10240
209,8192,10240
210,10240,10240
232,55296,10240
233,57344,10240
234,59392,10240
235,61440,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
242,75776,10240
243,77824,10240
244,79872,10240
245,81920,10240
248,4096,12288
249,6144,12288
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
274,57344,12288
275,59392,12288
276,61440,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
284,77824,12288
285,79872,12288
286,81920,12288
288,2048,14336
289,4096,14336
290,6144,14336
291,8192,14336
292,10240,14336
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
318,63488,14336
319,65536,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
326,79872,14336
327,81920,14336
329,2048,16384
330,4096,16384
331,6144,16384
332,8192,16384
333,10240,16384
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
338,20480,16384
339,22528,16384
340,24576,16384
358,61440,16384
359,63488,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
365,75776,16384
366,77824,16384
367,79872,16384
368,81920,16384
370,2048,18432
371,4096,18432
372,6144,18432
373,8192,18432
374,10240,18432
375,12288,18432
376,14336,18432
377,16384,18432
378,18432,18432
379,20480,18432
380,22528,18432
381,24576,18432
382,26624,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
405,73728,18432
406,75776,18432
407,77824,18432
408,79872,18432
412,4096,20480
413,6144,20480
414,8192,20480
415,10240,20480
416,12288,20480
417,14336,20480
418,16384,20480
419,18432,20480
420,20480,20480
421,22528,20480
422,24576,20480
423,26624,20480
424,28672,20480
455,8192,22528
456,10240,22528
457,12288,22528
458,14336,22528
459,16384,22528
460,18432,22528
461,20480,22528
462,22528,22528
463,24576,22528
464,26624,22528
465,28672,22528
496,8192,24576
497,10240,24576
498,12288,24576
499,14336,24576
500,16384,24576
501,18432,24576
502,20480,24576
503,22528,24576
504,24576,24576
505,26624,24576
540,14336,26624
541,16384,26624
542,18432,26624
543,20480,26624
544,22528,26624
545,24576,26624
