bag_id,x,y
2,4096,0
3,6144,0
35,2048,2048
36,4096,2048
37,6144,2048
38,8192,2048
39,10240,2048
40,12288,2048
41,14336,2048
69,2048,4096
70,4096,4096
71,6144,4096
72,8192,4096
73,10240,4096
74,12288,4096
75,14336,4096
76,16384,4096
92,49152,4096
93,51200,4096
94,53248,4096
95,55296,4096
96,57344,4096
97,59392,4096
105,6144,6144
106,8192,6144
107,10240,6144
108,12288,6144
109,14336,6144
110,16384,6144
126,49152,6144
127,51200,6144
128,53248,6144
129,55296,6144
130,57344,6144
131,59392,6144
132,61440,6144
140,8192,8192
141,10240,8192
142,12288,8192
143,14336,8192
162,53248,8192
163,55296,8192
164,57344,8192
165,59392,8192
166,61440,8192
167,63488,8192
196,53248,10240
197,55296,10240
198,57344,10240
199,59392,10240
