bag_id,x,y
71,2048,4096
72,4096,4096
73,6144,4096
77,14336,4096
79,18432,4096
94,49152,4096
95,51200,4096
96,53248,4096
97,55296,4096
98,57344,4096
106,2048,6144
107,4096,6144
108,6144,6144
109,8192,6144
110,10240,6144
111,12288,6144
112,14336,6144
113,16384,6144
114,18432,6144
115,20480,6144
128,47104,6144
129,49152,6144
130,51200,6144
131,53248,6144
132,55296,6144
133,57344,6144
134,59392,6144
135,61440,6144
136,63488,6144
137,65536,6144
138,67584,6144
139,69632,6144
141,2048,8192
142,4096,8192
143,6144,8192
144,8192,8192
145,10240,8192
146,12288,8192
147,14336,8192
148,16384,8192
149,18432,8192
150,20480,8192
151,22528,8192
164,49152,8192
165,51200,8192
166,53248,8192
167,55296,8192
168,57344,8192
169,59392,8192
170,61440,8192
171,63488,8192
172,65536,8192
173,67584,8192
174,69632,8192
176,2048,10240
177,4096,10240
178,6144,10240
179,8192,10240
180,10240,10240
181,12288,10240
182,14336,10240
183,16384,10240
184,18432,10240
185,20480,10240
200,51200,10240
201,53248,10240
202,55296,10240
203,57344,10240
204,59392,10240
205,61440,10240
206,63488,10240
207,65536,10240
208,67584,10240
209,69632,10240
212,4096,12288
213,6144,12288
214,8192,12288
215,10240,12288
216,12288,12288
217,14336,12288
218,16384,12288
219,18432,12288
220,20480,12288
235,51200,12288
236,53248,12288
237,55296,12288
238,57344,12288
239,59392,12288
240,61440,12288
241,63488,12288
242,65536,12288
243,67584,12288
244,69632,12288
247,4096,14336
248,6144,14336
249,8192,14336
250,10240,14336
251,12288,14336
252,14336,14336
253,16384,14336
254,18432,14336
271,53248,14336
272,55296,14336
273,57344,14336
274,59392,14336
275,61440,14336
276,63488,14336
277,65536,14336
278,67584,14336
279,69632,14336
282,4096,16384
283,6144,16384
284,8192,16384
285,10240,16384
286,12288,16384
287,14336,16384
307,55296,16384
308,57344,16384
309,59392,16384
310,61440,16384
311,63488,16384
312,65536,16384
313,67584,16384
318,6144,18432
319,8192,18432
320,10240,18432
321,12288,18432
322,14336,18432
323,16384,18432
343,57344,18432
344,59392,18432
345,61440,18432
346,63488,18432
347,65536,18432
349,69632,18432
355,10240,20480
356,12288,20480
357,14336,20480
379,59392,20480
380,61440,20480
381,63488,20480
382,65536,20480
391,12288,22528
415,61440,22528
