bag_id,x,y
5,10240,0
6,12288,0
7,14336,0
9,18432,0
44,6144,2048
45,8192,2048
46,10240,2048
47,12288,2048
48,14336,2048
49,16384,2048
50,18432,2048
51,20480,2048
85,6144,4096
86,8192,4096
87,10240,4096
88,12288,4096
89,14336,4096
90,16384,4096
91,18432,4096
92,20480,4096
93,22528,4096
125,4096,6144
126,6144,6144
127,8192,6144
130,14336,6144
131,16384,6144
132,18432,6144
133,20480,6144
134,22528,6144
135,24576,6144
169,10240,8192
170,12288,8192
171,14336,8192
172,16384,8192
173,18432,8192
174,20480,8192
175,22528,8192
176,24576,8192
177,26624,8192
195,63488,8192
196,65536,8192
197,67584,8192
198,69632,8192
199,71680,8192
207,4096,10240
209,8192,10240
210,10240,10240
211,12288,10240
212,14336,10240
213,16384,10240
214,18432,10240
215,20480,10240
216,22528,10240
217,24576,10240
218,26624,10240
219,28672,10240
235,61440,10240
236,63488,10240
237,65536,10240
238,67584,10240
239,69632,10240
240,71680,10240
241,73728,10240
248,4096,12288
249,6144,12288
250,8192,12288
251,10240,12288
252,12288,12288
253,14336,12288
254,16384,12288
255,18432,12288
256,20480,12288
257,22528,12288
258,24576,12288
259,26624,12288
276,61440,12288
277,63488,12288
278,65536,12288
279,67584,12288
280,69632,12288
281,71680,12288
282,73728,12288
283,75776,12288
289,4096,14336
290,6144,14336
291,8192,14336
292,10240,14336
293,12288,14336
294,14336,14336
295,16384,14336
296,18432,14336
297,20480,14336
298,22528,14336
299,24576,14336
300,26624,14336
320,67584,14336
321,69632,14336
322,71680,14336
323,73728,14336
324,75776,14336
325,77824,14336
330,4096,16384
331,6144,16384
332,8192,16384
333,10240,16384
334,12288,16384
335,14336,16384
336,16384,16384
337,18432,16384
338,20480,16384
339,22528,16384
357,59392,16384
358,61440,16384
360,65536,16384
361,67584,16384
362,69632,16384
363,71680,16384
364,73728,16384
365,75776,16384
366,77824,16384
367,79872,16384
368,81920,16384
371,4096,18432
372,6144,18432
373,8192,18432
374,10240,18432
375,12288,18432
376,14336,18432
377,16384,18432
378,18432,18432
379,20480,18432
380,22528,18432
398,59392,18432
399,61440,18432
400,63488,18432
401,65536,18432
402,67584,18432
403,69632,18432
404,71680,18432
405,73728,18432
406,75776,18432
407,77824,18432
408,79872,18432
413,6144,20480
414,8192,20480
415,10240,20480
416,12288,20480
417,14336,20480
418,16384,20480
419,18432,20480
420,20480,20480
421,22528,20480
439,59392,20480
440,61440,20480
441,63488,20480
442,65536,20480
443,67584,20480
444,69632,20480
445,71680,20480
446,73728,20480
447,75776,20480
448,77824,20480
449,79872,20480
455,8192,22528
456,10240,22528
459,16384,22528
460,18432,22528
461,20480,22528
480,59392,22528
481,61440,22528
482,63488,22528
483,65536,22528
484,67584,22528
485,69632,22528
486,71680,22528
487,73728,22528
488,75776,22528
489,77824,22528
521,59392,24576
522,61440,24576
523,63488,24576
524,65536,24576
525,67584,24576
526,69632,24576
527,71680,24576
528,73728,24576
529,75776,24576
530,77824,24576
563,61440,26624
564,63488,26624
565,65536,26624
566,67584,26624
567,69632,26624
568,71680,26624
569,73728,26624
570,75776,26624
605,63488,28672
606,65536,28672
608,69632,28672
609,71680,28672
610,73728,28672
650,71680,30720
651,73728,30720
