bag_id,x,y
28,57344,0
29,59392,0
36,10240,2048
38,14336,2048
57,53248,2048
58,55296,2048
59,57344,2048
60,59392,2048
65,6144,4096
66,8192,4096
67,10240,4096
69,14336,4096
87,51200,4096
88,53248,4096
89,55296,4096
90,57344,4096
91,59392,4096
95,4096,6144
96,6144,6144
97,8192,6144
98,10240,6144
99,12288,6144
100,14336,6144
118,51200,6144
119,53248,6144
120,55296,6144
121,57344,6144
122,59392,6144
126,4096,8192
127,6144,8192
128,8192,8192
129,10240,8192
130,12288,8192
131,14336,8192
149,51200,8192
150,53248,8192
151,55296,8192
152,57344,8192
153,59392,8192
157,4096,10240
158,6144,10240
159,8192,10240
160,10240,10240
161,12288,10240
179,49152,10240
180,51200,10240
181,53248,10240
182,55296,10240
183,57344,10240
184,59392,10240
188,4096,12288
189,6144,12288
190,8192,12288
191,10240,12288
192,12288,12288
211,51200,12288
212,53248,12288
213,55296,12288
214,57344,12288
215,59392,12288
219,4096,14336
220,6144,14336
221,8192,14336
222,10240,14336
223,12288,14336
244,55296,14336
245,57344,14336
252,8192,16384
253,10240,16384
254,12288,16384
276,57344,16384
285,12288,18432
