bag_id,x,y
29,59392,0
30,61440,0
45,4096,2048
46,6144,2048
47,8192,2048
48,10240,2048
71,57344,2048
72,59392,2048
73,61440,2048
74,63488,2048
75,65536,2048
76,67584,2048
88,4096,4096
89,6144,4096
90,8192,4096
91,10240,4096
92,12288,4096
93,14336,4096
94,16384,4096
95,18432,4096
96,20480,4096
101,30720,4096
114,57344,4096
115,59392,4096
116,61440,4096
117,63488,4096
118,65536,4096
119,67584,4096
120,69632,4096
121,71680,4096
122,73728,4096
123,75776,4096
124,77824,4096
125,79872,4096
127,83968,4096
128,86016,4096
130,2048,6144
131,4096,6144
132,6144,6144
133,8192,6144
134,10240,6144
135,12288,6144
136,14336,6144
137,16384,6144
138,18432,6144
139,20480,6144
140,22528,6144
141,24576,6144
142,26624,6144
143,28672,6144
144,30720,6144
157,57344,6144
158,59392,6144
159,61440,6144
160,63488,6144
161,65536,6144
162,67584,6144
163,69632,6144
164,71680,6144
165,73728,6144
166,75776,6144
167,77824,6144
168,79872,6144
169,81920,6144
170,83968,6144
171,86016,6144
173,2048,8192
174,4096,8192
175,6144,8192
176,8192,8192
177,10240,8192
178,12288,8192
179,14336,8192
180,16384,8192
181,18432,8192
182,20480,8192
183,22528,8192
184,24576,8192
185,26624,8192
186,28672,8192
187,30720,8192
200,57344,8192
201,59392,8192
202,61440,8192
203,63488,8192
204,65536,8192
205,67584,8192
206,69632,8192
207,71680,8192
208,73728,8192
209,75776,8192
210,77824,8192
211,79872,8192
212,81920,8192
213,83968,8192
214,86016,8192
216,2048,10240
217,4096,10240
218,6144,10240
219,8192,10240
220,10240,10240
221,12288,10240
222,14336,10240
223,16384,10240
224,18432,10240
225,20480,10240
226,22528,10240
227,24576,10240
228,26624,10240
229,28672,10240
230,30720,10240
242,55296,10240
243,57344,10240
244,59392,10240
245,61440,10240
246,63488,10240
247,65536,10240
248,67584,10240
249,69632,10240
250,71680,10240
251,73728,10240
252,75776,10240
253,77824,10240
254,79872,10240
255,81920,10240
256,83968,10240
259,2048,12288
260,4096,12288
261,6144,12288
262,8192,12288
263,10240,12288
264,12288,12288
265,14336,12288
266,16384,12288
267,18432,12288
268,20480,12288
269,22528,12288
270,24576,12288
271,26624,12288
272,28672,12288
286,57344,12288
287,59392,12288
288,61440,12288
289,63488,12288
290,65536,12288
291,67584,12288
292,69632,12288
293,71680,12288
294,73728,12288
295,75776,12288
296,77824,12288
297,79872,12288
298,81920,12288
303,4096,14336
304,6144,14336
305,8192,14336
306,10240,14336
307,12288,14336
308,14336,14336
309,16384,14336
310,18432,14336
311,20480,14336
312,22528,14336
313,24576,14336
314,26624,14336
331,61440,14336
332,63488,14336
333,65536,14336
334,67584,14336
335,69632,14336
336,71680,14336
337,73728,14336
338,75776,14336
339,77824,14336
340,79872,14336
354,20480,16384
355,22528,16384
