bag_id,x,y
41,83968,0
42,86016,0
89,81920,2048
90,83968,2048
91,86016,2048
92,88064,2048
93,90112,2048
94,92160,2048
137,79872,4096
138,81920,4096
139,83968,4096
140,86016,4096
141,88064,4096
142,90112,4096
143,92160,4096
144,94208,4096
152,10240,6144
153,12288,6144
154,14336,6144
186,79872,6144
187,81920,6144
188,83968,6144
189,86016,6144
190,88064,6144
191,90112,6144
192,92160,6144
193,94208,6144
194,96256,6144
195,98304,6144
199,6144,8192
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
235,79872,8192
236,81920,8192
237,83968,8192
238,86016,8192
239,88064,8192
240,90112,8192
241,92160,8192
242,94208,8192
243,96256,8192
244,98304,8192
247,4096,10240
248,6144,10240
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
254,18432,10240
284,79872,10240
285,81920,10240
286,83968,10240
287,86016,10240
288,88064,10240
289,90112,10240
290,92160,10240
291,94208,10240
292,96256,10240
295,2048,12288
296,4096,12288
297,6144,12288
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
338,90112,12288
339,92160,12288
340,94208,12288
341,96256,12288
344,2048,14336
345,4096,14336
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
384,83968,14336
385,86016,14336
386,88064,14336
387,90112,14336
388,92160,14336
389,94208,14336
394,4096,16384
395,6144,16384
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
435,88064,16384
436,90112,16384
437,92160,16384
443,4096,18432
444,6144,18432
445,8192,18432
446,10240,18432
447,12288,18432
448,14336,18432
449,16384,18432
450,18432,18432
451,20480,18432
484,88064,18432
485,90112,18432
486,92160,18432
493,6144,20480
494,8192,20480
495,10240,20480
496,12288,20480
497,14336,20480
498,16384,20480
499,18432,20480
500,20480,20480
534,90112,20480
535,92160,20480
548,18432,22528
549,20480,22528
