bag_id,x,y
31,63488,0
63,57344,2048
64,59392,2048
65,61440,2048
66,63488,2048
67,65536,2048
97,55296,4096
98,57344,4096
99,59392,4096
100,61440,4096
101,63488,4096
102,65536,4096
103,67584,4096
111,12288,6144
112,14336,6144
131,53248,6144
132,55296,6144
133,57344,6144
134,59392,6144
135,61440,6144
136,63488,6144
137,65536,6144
138,67584,6144
144,8192,8192
145,10240,8192
146,12288,8192
147,14336,8192
148,16384,8192
166,53248,8192
167,55296,8192
168,57344,8192
169,59392,8192
170,61440,8192
171,63488,8192
172,65536,8192
173,67584,8192
174,69632,8192
177,4096,10240
178,6144,10240
179,8192,10240
180,10240,10240
181,12288,10240
182,14336,10240
183,16384,10240
184,18432,10240
201,53248,10240
202,55296,10240
203,57344,10240
204,59392,10240
205,61440,10240
206,63488,10240
207,65536,10240
208,67584,10240
209,69632,10240
212,4096,12288
213,6144,12288
214,8192,12288
215,10240,12288
216,12288,12288
217,14336,12288
218,16384,12288
219,18432,12288
220,20480,12288
236,53248,12288
237,55296,12288
238,57344,12288
239,59392,12288
240,61440,12288
241,63488,12288
242,65536,12288
243,67584,12288
244,69632,12288
247,4096,14336
248,6144,14336
249,8192,14336
250,10240,14336
251,12288,14336
252,14336,14336
253,16384,14336
254,18432,14336
255,20480,14336
270,51200,14336
271,53248,14336
272,55296,14336
273,57344,14336
274,59392,14336
275,61440,14336
276,63488,14336
277,65536,14336
278,67584,14336
279,69632,14336
281,2048,16384
282,4096,16384
283,6144,16384
284,8192,16384
285,10240,16384
286,12288,16384
287,14336,16384
288,16384,16384
289,18432,16384
290,20480,16384
306,53248,16384
307,55296,16384
308,57344,16384
309,59392,16384
310,61440,16384
311,63488,16384
312,65536,16384
313,67584,16384
314,69632,16384
317,4096,18432
318,6144,18432
319,8192,18432
320,10240,18432
321,12288,18432
322,14336,18432
323,16384,18432
324,18432,18432
325,20480,18432
341,53248,18432
342,55296,18432
343,57344,18432
344,59392,18432
345,61440,18432
346,63488,18432
347,65536,18432
348,67584,18432
349,69632,18432
352,4096,20480
353,6144,20480
354,8192,20480
355,10240,20480
356,12288,20480
357,14336,20480
358,16384,20480
359,18432,20480
360,20480,20480
361,22528,20480
379,59392,20480
380,61440,20480
381,63488,20480
382,65536,20480
383,67584,20480
384,69632,20480
387,4096,22528
388,6144,22528
389,8192,22528
390,10240,22528
391,12288,22528
392,14336,22528
393,16384,22528
394,18432,22528
395,20480,22528
396,22528,22528
423,6144,24576
424,8192,24576
425,10240,24576
426,12288,24576
427,14336,24576
428,16384,24576
429,18432,24576
