bag_id,x,y
82,77824,2048
124,73728,4096
125,75776,4096
126,77824,4096
127,79872,4096
128,81920,4096
165,67584,6144
166,69632,6144
167,71680,6144
168,73728,6144
169,75776,6144
170,77824,6144
171,79872,6144
172,81920,6144
173,83968,6144
174,86016,6144
186,20480,8192
187,22528,8192
188,24576,8192
189,26624,8192
190,28672,8192
209,67584,8192
210,69632,8192
211,71680,8192
212,73728,8192
213,75776,8192
214,77824,8192
215,79872,8192
216,81920,8192
217,83968,8192
218,86016,8192
219,88064,8192
227,14336,10240
228,16384,10240
229,18432,10240
230,20480,10240
231,22528,10240
232,24576,10240
233,26624,10240
234,28672,10240
235,30720,10240
236,32768,10240
255,71680,10240
256,73728,10240
257,75776,10240
258,77824,10240
259,79872,10240
260,81920,10240
261,83968,10240
262,86016,10240
263,88064,10240
271,14336,12288
272,16384,12288
273,18432,12288
274,20480,12288
275,22528,12288
276,24576,12288
277,26624,12288
278,28672,12288
279,30720,12288
280,32768,12288
281,34816,12288
301,75776,12288
302,77824,12288
303,79872,12288
304,81920,12288
305,83968,12288
306,86016,12288
310,4096,14336
311,6144,14336
318,20480,14336
319,22528,14336
320,24576,14336
321,26624,14336
322,28672,14336
323,30720,14336
324,32768,14336
325,34816,14336
342,69632,14336
343,71680,14336
344,73728,14336
345,75776,14336
346,77824,14336
347,79872,14336
348,81920,14336
349,83968,14336
353,2048,16384
354,4096,16384
355,6144,16384
363,22528,16384
364,24576,16384
365,26624,16384
366,28672,16384
367,30720,16384
368,32768,16384
386,69632,16384
387,71680,16384
388,73728,16384
389,75776,16384
390,77824,16384
391,79872,16384
392,81920,16384
393,83968,16384
397,2048,18432
398,4096,18432
399,6144,18432
404,16384,18432
405,18432,18432
406,20480,18432
407,22528,18432
408,24576,18432
409,26624,18432
410,28672,18432
411,30720,18432
430,69632,18432
431,71680,18432
432,73728,18432
433,75776,18432
434,77824,18432
435,79872,18432
436,81920,18432
437,83968,18432
441,2048,20480
442,4096,20480
443,6144,20480
448,16384,20480
449,18432,20480
450,20480,20480
451,22528,20480
452,24576,20480
453,26624,20480
454,28672,20480
455,30720,20480
474,69632,20480
475,71680,20480
476,73728,20480
477,75776,20480
478,77824,20480
479,79872,20480
480,81920,20480
481,83968,20480
482,86016,20480
483,88064,20480
492,16384,22528
493,18432,22528
494,20480,22528
495,22528,22528
496,24576,22528
497,26624,22528
498,28672,22528
499,30720,22528
518,69632,22528
519,71680,22528
520,73728,22528
521,75776,22528
522,77824,22528
523,79872,22528
524,81920,22528
525,83968,22528
526,86016,22528
527,88064,22528
536,16384,24576
537,18432,24576
538,20480,24576
539,22528,24576
540,24576,24576
541,26624,24576
542,28672,24576
543,30720,24576
544,32768,24576
545,34816,24576
546,36864,24576
562,69632,24576
563,71680,24576
564,73728,24576
565,75776,24576
566,77824,24576
567,79872,24576
568,81920,24576
569,83968,24576
570,86016,24576
571,88064,24576
581,18432,26624
582,20480,26624
583,22528,26624
584,24576,26624
585,26624,26624
586,28672,26624
587,30720,26624
588,32768,26624
589,34816,26624
590,36864,26624
606,69632,26624
607,71680,26624
608,73728,26624
609,75776,26624
610,77824,26624
611,79872,26624
612,81920,26624
613,83968,26624
614,86016,26624
625,18432,28672
626,20480,28672
627,22528,28672
628,24576,28672
629,26624,28672
630,28672,28672
631,30720,28672
632,32768,28672
633,34816,28672
650,69632,28672
651,71680,28672
652,73728,28672
653,75776,28672
654,77824,28672
669,18432,30720
670,20480,30720
671,22528,30720
672,24576,30720
673,26624,30720
674,28672,30720
675,30720,30720
676,32768,30720
677,34816,30720
713,18432,32768
714,20480,32768
716,24576,32768
717,26624,32768
