bag_id,x,y
31,63488,0
36,73728,0
37,75776,0
72,61440,2048
73,63488,2048
74,65536,2048
75,67584,2048
76,69632,2048
77,71680,2048
78,73728,2048
79,75776,2048
80,77824,2048
113,59392,4096
114,61440,4096
115,63488,4096
116,65536,4096
117,67584,4096
118,69632,4096
119,71680,4096
120,73728,4096
121,75776,4096
122,77824,4096
123,79872,4096
133,14336,6144
134,16384,6144
135,18432,6144
155,59392,6144
156,61440,6144
157,63488,6144
158,65536,6144
159,67584,6144
160,69632,6144
161,71680,6144
162,73728,6144
163,75776,6144
164,77824,6144
165,79872,6144
166,81920,6144
167,83968,6144
170,4096,8192
171,6144,8192
172,8192,8192
173,10240,8192
174,12288,8192
175,14336,8192
176,16384,8192
177,18432,8192
178,20480,8192
199,63488,8192
200,65536,8192
201,67584,8192
202,69632,8192
203,71680,8192
204,73728,8192
205,75776,8192
206,77824,8192
207,79872,8192
208,81920,8192
209,83968,8192
211,2048,10240
212,4096,10240
213,6144,10240
214,8192,10240
215,10240,10240
216,12288,10240
217,14336,10240
218,16384,10240
219,18432,10240
220,20480,10240
221,22528,10240
222,24576,10240
244,69632,10240
245,71680,10240
246,73728,10240
247,75776,10240
248,77824,10240
249,79872,10240
250,81920,10240
251,83968,10240
253,2048,12288
254,4096,12288
255,6144,12288
256,8192,12288
257,10240,12288
258,12288,12288
259,14336,12288
260,16384,12288
261,18432,12288
262,20480,12288
263,22528,12288
264,24576,12288
265,26624,12288
288,73728,12288
289,75776,12288
290,77824,12288
291,79872,12288
292,81920,12288
293,83968,12288
296,4096,14336
297,6144,14336
299,10240,14336
300,12288,14336
301,14336,14336
302,16384,14336
303,18432,14336
304,20480,14336
305,22528,14336
306,24576,14336
307,26624,14336
333,79872,14336
341,10240,16384
342,12288,16384
343,14336,16384
344,16384,16384
345,18432,16384
346,20480,16384
347,22528,16384
348,24576,16384
385,14336,18432
386,16384,18432
387,18432,18432
388,20480,18432
389,22528,18432
390,24576,18432
