bag_id,x,y
105,14336,4096
106,16384,4096
134,73728,4096
135,75776,4096
136,77824,4096
152,10240,6144
153,12288,6144
154,14336,6144
155,16384,6144
156,18432,6144
182,71680,6144
183,73728,6144
184,75776,6144
185,77824,6144
186,79872,6144
199,6144,8192
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
206,20480,8192
207,22528,8192
230,69632,8192
231,71680,8192
232,73728,8192
233,75776,8192
234,77824,8192
235,79872,8192
236,81920,8192
248,6144,10240
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
254,18432,10240
255,20480,10240
256,22528,10240
257,24576,10240
277,65536,10240
278,67584,10240
279,69632,10240
280,71680,10240
281,73728,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
307,26624,12288
326,65536,12288
327,67584,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
357,28672,14336
358,30720,14336
375,65536,14336
376,67584,14336
377,69632,14336
380,75776,14336
384,83968,14336
385,86016,14336
386,88064,14336
387,90112,14336
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
405,26624,16384
406,28672,16384
407,30720,16384
408,32768,16384
426,69632,16384
431,79872,16384
432,81920,16384
433,83968,16384
434,86016,16384
435,88064,16384
436,90112,16384
437,92160,16384
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
455,28672,18432
456,30720,18432
457,32768,18432
480,79872,18432
481,81920,18432
482,83968,18432
483,86016,18432
484,88064,18432
485,90112,18432
486,92160,18432
497,14336,20480
498,16384,20480
499,18432,20480
500,20480,20480
501,22528,20480
502,24576,20480
503,26624,20480
504,28672,20480
505,30720,20480
528,77824,20480
529,79872,20480
530,81920,20480
531,83968,20480
532,86016,20480
533,88064,20480
534,90112,20480
535,92160,20480
546,14336,22528
547,16384,22528
548,18432,22528
549,20480,22528
550,22528,22528
551,24576,22528
552,26624,22528
553,28672,22528
576,75776,22528
577,77824,22528
578,79872,22528
579,81920,22528
580,83968,22528
581,86016,22528
582,88064,22528
583,90112,22528
596,16384,24576
597,18432,24576
598,20480,24576
624,73728,24576
625,75776,24576
626,77824,24576
627,79872,24576
628,81920,24576
629,83968,24576
630,86016,24576
674,75776,26624
675,77824,26624
676,79872,26624
677,81920,26624
