bag_id,x,y
105,14336,4096
152,10240,6144
153,12288,6144
154,14336,6144
155,16384,6144
157,20480,6144
158,22528,6144
159,24576,6144
160,26624,6144
161,28672,6144
200,8192,8192
201,10240,8192
202,12288,8192
203,14336,8192
204,16384,8192
205,18432,8192
206,20480,8192
207,22528,8192
208,24576,8192
209,26624,8192
210,28672,8192
211,30720,8192
212,32768,8192
213,34816,8192
214,36864,8192
249,8192,10240
250,10240,10240
251,12288,10240
252,14336,10240
253,16384,10240
254,18432,10240
255,20480,10240
256,22528,10240
257,24576,10240
258,26624,10240
259,28672,10240
260,30720,10240
261,32768,10240
262,34816,10240
263,36864,10240
264,38912,10240
277,65536,10240
278,67584,10240
279,69632,10240
280,71680,10240
282,75776,10240
283,77824,10240
284,79872,10240
285,81920,10240
286,83968,10240
298,8192,12288
299,10240,12288
300,12288,12288
301,14336,12288
302,16384,12288
303,18432,12288
304,20480,12288
305,22528,12288
306,24576,12288
307,26624,12288
308,28672,12288
309,30720,12288
310,32768,12288
311,34816,12288
312,36864,12288
313,38912,12288
325,63488,12288
326,65536,12288
327,67584,12288
328,69632,12288
329,71680,12288
330,73728,12288
331,75776,12288
332,77824,12288
333,79872,12288
334,81920,12288
335,83968,12288
336,86016,12288
337,88064,12288
338,90112,12288
339,92160,12288
346,6144,14336
347,8192,14336
348,10240,14336
349,12288,14336
350,14336,14336
351,16384,14336
352,18432,14336
353,20480,14336
354,22528,14336
355,24576,14336
356,26624,14336
357,28672,14336
358,30720,14336
359,32768,14336
360,34816,14336
361,36864,14336
362,38912,14336
374,63488,14336
375,65536,14336
376,67584,14336
377,69632,14336
378,71680,14336
379,73728,14336
380,75776,14336
381,77824,14336
382,79872,14336
383,81920,14336
384,83968,14336
385,86016,14336
386,88064,14336
387,90112,14336
388,92160,14336
389,94208,14336
396,8192,16384
397,10240,16384
398,12288,16384
399,14336,16384
400,16384,16384
401,18432,16384
402,20480,16384
403,22528,16384
404,24576,16384
405,26624,16384
406,28672,16384
407,30720,16384
408,32768,16384
409,34816,16384
410,36864,16384
411,38912,16384
423,63488,16384
424,65536,16384
425,67584,16384
426,69632,16384
427,71680,16384
428,73728,16384
429,75776,16384
430,77824,16384
431,79872,16384
432,81920,16384
433,83968,16384
434,86016,16384
435,88064,16384
436,90112,16384
437,92160,16384
438,94208,16384
445,8192,18432
446,10240,18432
447,12288,18432
448,14336,18432
449,16384,18432
450,18432,18432
451,20480,18432
452,22528,18432
453,24576,18432
454,26624,18432
455,28672,18432
456,30720,18432
457,32768,18432
458,34816,18432
459,36864,18432
460,38912,18432
472,63488,18432
473,65536,18432
474,67584,18432
475,69632,18432
476,71680,18432
477,73728,18432
478,75776,18432
479,77824,18432
480,79872,18432
481,81920,18432
482,83968,18432
483,86016,18432
484,88064,18432
485,90112,18432
486,92160,18432
487,94208,18432
495,10240,20480
496,12288,20480
497,14336,20480
498,16384,20480
499,18432,20480
500,20480,20480
501,22528,20480
502,24576,20480
503,26624,20480
504,28672,20480
505,30720,20480
506,32768,20480
507,34816,20480
508,36864,20480
509,38912,20480
521,63488,20480
522,65536,20480
523,67584,20480
524,69632,20480
525,71680,20480
526,73728,20480
527,75776,20480
528,77824,20480
529,79872,20480
530,81920,20480
531,83968,20480
532,86016,20480
533,88064,20480
534,90112,20480
535,92160,20480
536,94208,20480
548,18432,22528
549,20480,22528
550,22528,22528
551,24576,22528
552,26624,22528
553,28672,22528
554,30720,22528
555,32768,22528
556,34816,22528
557,36864,22528
571,65536,22528
572,67584,22528
573,69632,22528
574,71680,22528
575,73728,22528
576,75776,22528
577,77824,22528
578,79872,22528
579,81920,22528
580,83968,22528
581,86016,22528
582,88064,22528
583,90112,22528
584,92160,22528
585,94208,22528
621,67584,24576
622,69632,24576
623,71680,24576
624,73728,24576
625,75776,24576
626,77824,24576
627,79872,24576
628,81920,24576
629,83968,24576
630,86016,24576
631,88064,24576
632,90112,24576
633,92160,24576
674,75776,26624
675,77824,26624
676,79872,26624
677,81920,26624
678,83968,26624
679,86016,26624
680,88064,26624
681,90112,26624
682,92160,26624
