bag_id,x,y
86,16384,4096
123,12288,6144
124,14336,6144
125,16384,6144
126,18432,6144
127,20480,6144
161,10240,8192
162,12288,8192
163,14336,8192
164,16384,8192
165,18432,8192
166,20480,8192
167,22528,8192
190,69632,8192
191,71680,8192
192,73728,8192
200,10240,10240
201,12288,10240
202,14336,10240
203,16384,10240
204,18432,10240
205,20480,10240
206,22528,10240
227,65536,10240
228,67584,10240
229,69632,10240
230,71680,10240
231,73728,10240
232,75776,10240
237,6144,12288
238,8192,12288
239,10240,12288
240,12288,12288
241,14336,12288
242,16384,12288
243,18432,12288
244,20480,12288
245,22528,12288
265,63488,12288
266,65536,12288
267,67584,12288
268,69632,12288
269,71680,12288
270,73728,12288
271,75776,12288
276,6144,14336
277,8192,14336
278,10240,14336
279,12288,14336
280,14336,14336
281,16384,14336
282,18432,14336
283,20480,14336
284,22528,14336
286,26624,14336
304,63488,14336
305,65536,14336
306,67584,14336
307,69632,14336
308,71680,14336
309,73728,14336
310,75776,14336
314,4096,16384
315,6144,16384
316,8192,16384
317,10240,16384
318,12288,16384
319,14336,16384
320,16384,16384
321,18432,16384
322,20480,16384
323,22528,16384
342,61440,16384
343,63488,16384
344,65536,16384
345,67584,16384
346,69632,16384
347,71680,16384
348,73728,16384
349,75776,16384
352,2048,18432
353,4096,18432
354,6144,18432
355,8192,18432
356,10240,18432
357,12288,18432
358,14336,18432
359,16384,18432
360,18432,18432
361,20480,18432
380,59392,18432
381,61440,18432
382,63488,18432
383,65536,18432
384,67584,18432
385,69632,18432
386,71680,18432
387,73728,18432
388,75776,18432
389,77824,18432
391,2048,20480
392,4096,20480
393,6144,20480
394,8192,20480
395,10240,20480
396,12288,20480
397,14336,20480
398,16384,20480
399,18432,20480
419,59392,20480
420,61440,20480
421,63488,20480
422,65536,20480
423,67584,20480
424,69632,20480
425,71680,20480
426,73728,20480
427,75776,20480
431,4096,22528
432,6144,22528
433,8192,22528
434,10240,22528
435,12288,22528
436,14336,22528
437,16384,22528
438,18432,22528
457,57344,22528
458,59392,22528
459,61440,22528
460,63488,22528
461,65536,22528
462,67584,22528
463,69632,22528
464,71680,22528
465,73728,22528
471,6144,24576
472,8192,24576
473,10240,24576
474,12288,24576
475,14336,24576
476,16384,24576
497,59392,24576
498,61440,24576
499,63488,24576
500,65536,24576
501,67584,24576
502,69632,24576
503,71680,24576
511,8192,26624
512,10240,26624
513,12288,26624
514,14336,26624
515,16384,26624
536,59392,26624
537,61440,26624
538,63488,26624
539,65536,26624
540,67584,26624
541,69632,26624
542,71680,26624
575,59392,28672
576,61440,28672
577,63488,28672
578,65536,28672
579,67584,28672
580,69632,28672
615,61440,30720
616,63488,30720
617,65536,30720
618,67584,30720
619,69632,30720
