bag_id,x,y
31,63488,0
32,65536,0
42,4096,2048
43,6144,2048
44,8192,2048
45,10240,2048
70,61440,2048
71,63488,2048
72,65536,2048
73,67584,2048
74,69632,2048
81,2048,4096
82,4096,4096
83,6144,4096
84,8192,4096
85,10240,4096
86,12288,4096
87,14336,4096
92,24576,4096
110,61440,4096
111,63488,4096
112,65536,4096
113,67584,4096
114,69632,4096
115,71680,4096
116,73728,4096
121,2048,6144
122,4096,6144
123,6144,6144
124,8192,6144
125,10240,6144
126,12288,6144
127,14336,6144
128,16384,6144
129,18432,6144
130,20480,6144
132,24576,6144
150,61440,6144
151,63488,6144
152,65536,6144
153,67584,6144
154,69632,6144
155,71680,6144
156,73728,6144
157,75776,6144
158,77824,6144
159,79872,6144
161,2048,8192
162,4096,8192
163,6144,8192
164,8192,8192
165,10240,8192
166,12288,8192
167,14336,8192
168,16384,8192
169,18432,8192
170,20480,8192
190,61440,8192
191,63488,8192
192,65536,8192
193,67584,8192
194,69632,8192
195,71680,8192
196,73728,8192
197,75776,8192
198,77824,8192
199,79872,8192
201,2048,10240
202,4096,10240
203,6144,10240
204,8192,10240
205,10240,10240
206,12288,10240
207,14336,10240
208,16384,10240
209,18432,10240
210,20480,10240
219,38912,10240
230,61440,10240
231,63488,10240
232,65536,10240
233,67584,10240
234,69632,10240
235,71680,10240
236,73728,10240
237,75776,10240
238,77824,10240
239,79872,10240
242,4096,12288
243,6144,12288
244,8192,12288
245,10240,12288
246,12288,12288
247,14336,12288
248,16384,12288
249,18432,12288
250,20480,12288
260,40960,12288
271,63488,12288
272,65536,12288
273,67584,12288
274,69632,12288
275,71680,12288
276,73728,12288
277,75776,12288
278,77824,12288
279,79872,12288
283,6144,14336
284,8192,14336
285,10240,14336
286,12288,14336
287,14336,14336
288,16384,14336
289,18432,14336
290,20480,14336
300,40960,14336
312,65536,14336
313,67584,14336
314,69632,14336
315,71680,14336
316,73728,14336
317,75776,14336
318,77824,14336
319,79872,14336
323,6144,16384
324,8192,16384
325,10240,16384
326,12288,16384
327,14336,16384
328,16384,16384
329,18432,16384
330,20480,16384
339,38912,16384
340,40960,16384
352,65536,16384
353,67584,16384
354,69632,16384
355,71680,16384
356,73728,16384
357,75776,16384
358,77824,16384
359,79872,16384
364,8192,18432
365,10240,18432
366,12288,18432
367,14336,18432
368,16384,18432
369,18432,18432
370,20480,18432
379,38912,18432
393,67584,18432
394,69632,18432
395,71680,18432
396,73728,18432
397,75776,18432
398,77824,18432
399,79872,18432
409,18432,20480
419,38912,20480
