bag_id,x,y
39,6144,2048
40,8192,2048
41,10240,2048
42,12288,2048
62,53248,2048
63,55296,2048
64,57344,2048
65,59392,2048
66,61440,2048
67,63488,2048
68,65536,2048
74,4096,4096
75,6144,4096
76,8192,4096
77,10240,4096
78,12288,4096
79,14336,4096
80,16384,4096
98,53248,4096
99,55296,4096
100,57344,4096
101,59392,4096
102,61440,4096
103,63488,4096
104,65536,4096
105,67584,4096
106,69632,4096
109,2048,6144
110,4096,6144
111,6144,6144
112,8192,6144
113,10240,6144
114,12288,6144
115,14336,6144
116,16384,6144
117,18432,6144
118,20480,6144
133,51200,6144
134,53248,6144
135,55296,6144
136,57344,6144
137,59392,6144
138,61440,6144
139,63488,6144
140,65536,6144
141,67584,6144
142,69632,6144
143,71680,6144
145,2048,8192
146,4096,8192
147,6144,8192
148,8192,8192
149,10240,8192
150,12288,8192
151,14336,8192
152,16384,8192
153,18432,8192
154,20480,8192
155,22528,8192
169,51200,8192
170,53248,8192
171,55296,8192
172,57344,8192
173,59392,8192
174,61440,8192
175,63488,8192
176,65536,8192
177,67584,8192
178,69632,8192
179,71680,8192
182,4096,10240
183,6144,10240
184,8192,10240
185,10240,10240
186,12288,10240
187,14336,10240
188,16384,10240
189,18432,10240
190,20480,10240
191,22528,10240
206,53248,10240
207,55296,10240
208,57344,10240
209,59392,10240
210,61440,10240
211,63488,10240
212,65536,10240
213,67584,10240
214,69632,10240
215,71680,10240
218,4096,12288
219,6144,12288
220,8192,12288
221,10240,12288
222,12288,12288
223,14336,12288
224,16384,12288
225,18432,12288
226,20480,12288
243,55296,12288
244,57344,12288
245,59392,12288
246,61440,12288
247,63488,12288
248,65536,12288
249,67584,12288
250,69632,12288
255,6144,14336
256,8192,14336
257,10240,14336
258,12288,14336
259,14336,14336
260,16384,14336
261,18432,14336
280,57344,14336
281,59392,14336
282,61440,14336
283,63488,14336
284,65536,14336
285,67584,14336
294,12288,16384
295,14336,16384
296,16384,16384
297,18432,16384
318,61440,16384
319,63488,16384
320,65536,16384
321,67584,16384
331,14336,18432
332,16384,18432
356,65536,18432
