bag_id,x,y
144,61440,6144
182,61440,8192
183,63488,8192
184,65536,8192
220,61440,10240
221,63488,10240
222,65536,10240
223,67584,10240
225,71680,10240
226,73728,10240
259,63488,12288
260,65536,12288
261,67584,12288
262,69632,12288
263,71680,12288
264,73728,12288
271,10240,14336
272,12288,14336
273,14336,14336
274,16384,14336
297,63488,14336
298,65536,14336
299,67584,14336
300,69632,14336
301,71680,14336
302,73728,14336
309,10240,16384
310,12288,16384
311,14336,16384
312,16384,16384
313,18432,16384
336,65536,16384
337,67584,16384
338,69632,16384
339,71680,16384
340,73728,16384
347,10240,18432
348,12288,18432
349,14336,18432
350,16384,18432
351,18432,18432
375,67584,18432
376,69632,18432
377,71680,18432
378,73728,18432
386,12288,20480
387,14336,20480
388,16384,20480
389,18432,20480
413,67584,20480
414,69632,20480
415,71680,20480
416,73728,20480
425,14336,22528
426,16384,22528
427,18432,22528
428,20480,22528
451,67584,22528
452,69632,22528
453,71680,22528
463,14336,24576
464,16384,24576
465,18432,24576
466,20480,24576
490,69632,24576
491,71680,24576
502,16384,26624
503,18432,26624
504,20480,26624
