bag_id,x,y
36,73728,0
37,75776,0
38,77824,0
39,79872,0
93,73728,2048
94,75776,2048
95,77824,2048
96,79872,2048
97,81920,2048
98,83968,2048
152,77824,4096
153,79872,4096
154,81920,4096
155,83968,4096
156,86016,4096
628,2048,22528
629,4096,22528
630,6144,22528
631,8192,22528
632,10240,22528
633,12288,22528
686,4096,24576
687,6144,24576
688,8192,24576
689,10240,24576
690,12288,24576
691,14336,24576
747,12288,26624
748,14336,26624
965,108544,32768
966,110592,32768
1022,108544,34816
1023,110592,34816
1024,112640,34816
1079,108544,36864
1080,110592,36864
1081,112640,36864
1082,114688,36864
1137,110592,38912
1138,112640,38912
1139,114688,38912
1196,114688,40960
