File Name,Sample Type
TCGA-CG-5728-11A-01-TS1.799bd41e-581f-41e3-b7ea-738eefc8fe13.svs,Solid Tissue Normal
TCGA-BR-8382-01A-01-BS1.a5a2d071-32b5-4a47-b12e-551e72f18a16.svs,Primary Tumor
TCGA-CD-5803-01A-01-TS1.a58a07e2-2e3f-45de-8e14-f1e80abc2533.svs,Primary Tumor
TCGA-VQ-A91Y-01A-01-TS1.67E90E2B-8335-4167-84D9-6E824661EAEC.svs,Primary Tumor
TCGA-VQ-A94O-01A-01-TS1.D88F40EE-D394-4DB5-B351-4072548428FE.svs,Primary Tumor
TCGA-HF-7131-01A-01-TS1.e81e766e-480a-4d8a-943f-8258501c0c91.svs,Primary Tumor
TCGA-CD-A487-01A-02-TSB.837F195A-EE02-4589-86B7-DB8D8BA46F30.svs,Primary Tumor
TCGA-BR-A4J9-01A-01-TSA.555FCA42-9354-4BDD-BF1B-02E2563ED7B7.svs,Primary Tumor
TCGA-BR-4357-11A-01-TS1.d5551424-136d-42ac-a078-5210db08512d.svs,Solid Tissue Normal
TCGA-SW-A7EA-11A-01-TS1.35D9692B-C1D6-4901-92B8-525FD3715757.svs,Solid Tissue Normal
TCGA-BR-4183-11A-01-BS1.2e22bc60-82a3-42f5-8f55-021f88fafd68.svs,Solid Tissue Normal
TCGA-CG-4462-01A-01-BS1.8655c0a9-39ee-4e10-ac16-d501a9c096a6.svs,Primary Tumor
TCGA-D7-6527-01A-01-BS1.ed001c63-4ca0-49e4-89b3-e2700797ce47.svs,Primary Tumor
TCGA-IN-8663-01A-01-BS1.b4492a0a-dd18-4fa8-9d6b-b5301678b25a.svs,Primary Tumor
TCGA-BR-4187-11A-01-BS1.4b640c36-0cf4-4d23-9548-c06ee79535d8.svs,Solid Tissue Normal
TCGA-HU-8249-01A-01-TS1.01666f42-6304-49ba-b99e-28bb5420b012.svs,Primary Tumor
TCGA-CG-5723-01A-01-BS1.00fee3f3-7e91-487a-a2cd-672c9d3bdee4.svs,Primary Tumor
TCGA-BR-4292-01A-01-BS1.826347ef-8bbd-4f4a-9b61-295c4726fcce.svs,Primary Tumor
TCGA-HU-A4H0-11A-01-TS1.7BAA5242-93FB-44C7-B7E6-CB3415D3058B.svs,Solid Tissue Normal
TCGA-IN-8462-01A-01-BS1.b26b38ce-be00-4c92-ad64-1b5ccf0f8c42.svs,Primary Tumor
TCGA-IP-7968-11A-01-TS1.aa84dfd6-6660-4488-b7d6-7652445a6f35.svs,Solid Tissue Normal
TCGA-IN-A6RL-01A-01-TSA.616EF818-5401-47F8-8207-0D296849C3AF.svs,Primary Tumor
TCGA-BR-6457-01A-01-BS1.4e3e4a79-a357-4bd2-b3fe-01ff65b3d5c6.svs,Primary Tumor
TCGA-D7-6822-01A-01-BS1.dfd06875-8a64-49d0-93b1-74c5b7b5c65a.svs,Primary Tumor
TCGA-FP-8099-01A-01-TS1.1c0a24f2-70dd-4f12-8add-3b1163ce0399.svs,Primary Tumor
TCGA-HU-A4G2-01A-01-TS1.DFE9014C-3606-49EF-B408-56F1C7AC03D5.svs,Primary Tumor
TCGA-D7-A74B-01A-01-TS1.898FC712-4B9F-4E29-BEFB-FE8B59452F4A.svs,Primary Tumor
TCGA-BR-4184-01A-01-BS1.e86a4de7-2c24-4a39-b8e2-b7889f1a6751.svs,Primary Tumor
TCGA-BR-4256-01A-01-BS1.e634e99c-f4f7-47aa-af3c-2c2700d0a0ae.svs,Primary Tumor
TCGA-CG-4305-01A-01-TS1.e79aa788-2661-4ed5-955d-f5392bf6582d.svs,Primary Tumor
TCGA-BR-7959-01A-01-BS1.b0b7d5d2-6f7b-44cc-ac0e-c421dec96eb0.svs,Primary Tumor
TCGA-BR-4361-01A-01-TS1.a9a67635-46d2-4163-acc7-fa9d6233313e.svs,Primary Tumor
TCGA-CG-4304-01A-01-BS1.ef8e1f86-8dbd-4941-a016-ed0efc89d35c.svs,Primary Tumor
TCGA-BR-8366-01A-01-BS1.73b94d78-7a09-4851-b554-ffe213055371.svs,Primary Tumor
TCGA-VQ-A91Z-01A-01-TS1.75500CF5-8AE0-43FD-808B-337392228DEF.svs,Primary Tumor
TCGA-BR-6566-11A-01-TS1.266cfa5a-bf50-4e32-b735-18eab135de76.svs,Solid Tissue Normal
TCGA-FP-A8CX-01A-01-TS1.522485D9-4E43-42E2-AAE3-75ABE2173BF9.svs,Primary Tumor
TCGA-CD-8524-01A-01-BS1.95085761-b6a2-4219-b48c-9365040ac503.svs,Primary Tumor
TCGA-EQ-5647-11A-01-TS1.c119474d-62a2-459f-b6b0-bca6a43248cc.svs,Solid Tissue Normal
TCGA-BR-8289-01A-01-TS1.b411a46d-4b8a-482e-aad7-2bc9724baea8.svs,Primary Tumor
TCGA-D7-6518-01A-01-BS1.43420704-66d5-444d-ade3-50612f8abea6.svs,Primary Tumor
TCGA-BR-4253-01A-01-TS1.1a1e75bd-81e9-4da6-9d2e-b6f0f90b7d18.svs,Primary Tumor
TCGA-BR-7901-01A-01-BS1.6cae982c-c32f-414f-9c62-5139e6df9bdc.svs,Primary Tumor
TCGA-HU-A4GF-01A-01-TS1.D2A0DF6F-AED1-4863-9593-F767F85B5B31.svs,Primary Tumor
TCGA-BR-4279-11A-01-BS1.9a2efc70-07d2-43e6-80a0-950b2e63bdb9.svs,Solid Tissue Normal
