File Name,Sample Type
TCGA-CG-5728-11A-01-TS1.799bd41e-581f-41e3-b7ea-738eefc8fe13.svs,Solid Tissue Normal
TCGA-BR-8382-01A-01-BS1.a5a2d071-32b5-4a47-b12e-551e72f18a16.svs,Primary Tumor
TCGA-CD-5803-01A-01-TS1.a58a07e2-2e3f-45de-8e14-f1e80abc2533.svs,Primary Tumor
TCGA-VQ-A91Y-01A-01-TS1.67E90E2B-8335-4167-84D9-6E824661EAEC.svs,Primary Tumor
TCGA-BR-8680-01A-01-TS1.69a434d0-ac36-4439-8fcb-0711a16f24a8.svs,Primary Tumor
TCGA-VQ-A94O-01A-01-TS1.D88F40EE-D394-4DB5-B351-4072548428FE.svs,Primary Tumor
TCGA-HF-7131-01A-01-TS1.e81e766e-480a-4d8a-943f-8258501c0c91.svs,Primary Tumor
TCGA-HU-A4H3-01A-02-TS2.BF61DFEF-E08F-4DC1-B807-02D853CCE143.svs,Primary Tumor
TCGA-BR-4361-01A-01-BS1.4886574e-bc5f-45d4-a6c8-f2750506dc3c.svs,Primary Tumor
TCGA-CD-A487-01A-02-TSB.837F195A-EE02-4589-86B7-DB8D8BA46F30.svs,Primary Tumor
TCGA-IN-A7NU-01A-02-TSB.A02DBB97-F71A-4849-A354-1100469A8540.svs,Primary Tumor
TCGA-BR-A4J9-01A-01-TSA.555FCA42-9354-4BDD-BF1B-02E2563ED7B7.svs,Primary Tumor
TCGA-VQ-A927-01A-01-TS1.361A306B-93C2-43F5-9155-81F13B6753A8.svs,Primary Tumor
TCGA-BR-4357-11A-01-TS1.d5551424-136d-42ac-a078-5210db08512d.svs,Solid Tissue Normal
TCGA-SW-A7EA-11A-01-TS1.35D9692B-C1D6-4901-92B8-525FD3715757.svs,Solid Tissue Normal
TCGA-BR-4183-11A-01-BS1.2e22bc60-82a3-42f5-8f55-021f88fafd68.svs,Solid Tissue Normal
TCGA-CG-4462-01A-01-BS1.8655c0a9-39ee-4e10-ac16-d501a9c096a6.svs,Primary Tumor
TCGA-BR-4369-11A-01-BS1.64dafcb4-999c-4e24-8898-d2355a256475.svs,Solid Tissue Normal
TCGA-BR-4362-01A-01-BS1.f4ab73bb-5a47-431a-8520-5c58bc7442fb.svs,Primary Tumor
TCGA-D7-6527-01A-01-BS1.ed001c63-4ca0-49e4-89b3-e2700797ce47.svs,Primary Tumor
TCGA-IN-8663-01A-01-BS1.b4492a0a-dd18-4fa8-9d6b-b5301678b25a.svs,Primary Tumor
TCGA-BR-4187-11A-01-BS1.4b640c36-0cf4-4d23-9548-c06ee79535d8.svs,Solid Tissue Normal
TCGA-HU-8249-01A-01-TS1.01666f42-6304-49ba-b99e-28bb5420b012.svs,Primary Tumor
TCGA-CG-5723-01A-01-BS1.00fee3f3-7e91-487a-a2cd-672c9d3bdee4.svs,Primary Tumor
TCGA-BR-4292-01A-01-BS1.826347ef-8bbd-4f4a-9b61-295c4726fcce.svs,Primary Tumor
TCGA-VQ-AA6I-01A-01-TS1.63DD8C55-4ADD-4DFB-B12B-C416DC50B2AA.svs,Primary Tumor
TCGA-HU-A4H0-11A-01-TS1.7BAA5242-93FB-44C7-B7E6-CB3415D3058B.svs,Solid Tissue Normal
TCGA-IN-8462-01A-01-BS1.b26b38ce-be00-4c92-ad64-1b5ccf0f8c42.svs,Primary Tumor
TCGA-IP-7968-11A-01-TS1.aa84dfd6-6660-4488-b7d6-7652445a6f35.svs,Solid Tissue Normal
TCGA-IN-A6RL-01A-01-TSA.616EF818-5401-47F8-8207-0D296849C3AF.svs,Primary Tumor
TCGA-BR-6457-01A-01-BS1.4e3e4a79-a357-4bd2-b3fe-01ff65b3d5c6.svs,Primary Tumor
TCGA-D7-8575-01A-01-BS1.0f8909f6-fa12-4a4b-839c-653e0e92645d.svs,Primary Tumor
TCGA-D7-6822-01A-01-BS1.dfd06875-8a64-49d0-93b1-74c5b7b5c65a.svs,Primary Tumor
TCGA-FP-8099-01A-01-TS1.1c0a24f2-70dd-4f12-8add-3b1163ce0399.svs,Primary Tumor
TCGA-HU-A4H8-01A-01-TS1.0E090F91-E437-4734-8A17-A73C6A1A570D.svs,Primary Tumor
TCGA-HU-A4G2-01A-01-TS1.DFE9014C-3606-49EF-B408-56F1C7AC03D5.svs,Primary Tumor
TCGA-HU-A4HB-01A-01-TS1.7F75B114-AC0E-42A9-9ED6-89518E9EA21A.svs,Primary Tumor
TCGA-HU-A4GC-11A-01-TS1.E56EE322-AAB2-4D16-8B9A-5B73B2E1C1CF.svs,Solid Tissue Normal
TCGA-D7-A74B-01A-01-TS1.898FC712-4B9F-4E29-BEFB-FE8B59452F4A.svs,Primary Tumor
TCGA-BR-4184-01A-01-BS1.e86a4de7-2c24-4a39-b8e2-b7889f1a6751.svs,Primary Tumor
TCGA-BR-4256-01A-01-BS1.e634e99c-f4f7-47aa-af3c-2c2700d0a0ae.svs,Primary Tumor
TCGA-CG-4305-01A-01-TS1.e79aa788-2661-4ed5-955d-f5392bf6582d.svs,Primary Tumor
TCGA-CG-4436-01A-01-BS1.33cee795-4dab-4e6c-a68b-607de717d712.svs,Primary Tumor
TCGA-BR-7959-01A-01-BS1.b0b7d5d2-6f7b-44cc-ac0e-c421dec96eb0.svs,Primary Tumor
